index,timestamp,latency__desc,eeg.counter,eeg.interpolated,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4,eeg.rawcq,eeg.battery,cq.af3,cq.f7,cq.f3,cq.fc5,cq.t7,cq.p7,cq.o1,cq.o2,cq.p8,cq.t8,cq.fc6,cq.f4,cq.f8,cq.af4,cq.overall,mot.q0,mot.q1,mot.q2,mot.q3,mot.accx,mot.accy,mot.accz,mot.magx,mot.magy,mot.magz,sq.overallsensorquality,sq.af3.signalquality,sq.af3.rms,sq.f7.signalquality,sq.f7.rms,sq.f3.signalquality,sq.f3.rms,sq.fc5.signalquality,sq.fc5.rms,sq.t7.signalquality,sq.t7.rms,sq.p7.signalquality,sq.p7.rms,sq.o1.signalquality,sq.o1.rms,sq.o2.signalquality,sq.o2.rms,sq.p8.signalquality,sq.p8.rms,sq.t8.signalquality,sq.t8.rms,sq.fc6.signalquality,sq.fc6.rms,sq.f4.signalquality,sq.f4.rms,sq.f8.signalquality,sq.f8.rms,sq.af4.signalquality,sq.af4.rms
11621,1754694656.822014,90.64028310775755,3.0,0.0,8.11051054353129,-11.40734871006316,-15.27523894869455,-21.26922028574745,3.439386504489903,-1.8844827152538528,6.753394914924684,9.281626811598471,17.396860121926693,10.79688626879988,-0.1988566357454146,-11.963087916064069,7.15048401418062,-20.395683755527443,3616.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11622,1754694656.829817,90.6480860710144,4.0,0.0,19.72864213713916,8.419384633476113,-9.810414137101075,-8.900356548762318,6.679659918951131,-3.113413160511243,0.2432498920694001,4.911144788434797,9.497279818801928,6.485419667224562,-6.393927202611337,-16.07449897264081,0.0882226452050076,-23.226299025010974,3606.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.8045169711112976,0.4232177734375,-0.32257080078125,0.2637939453125,3.99993896484375,-3.99993896484375,3.99993896484375,-54.43198394775391,-123.0701141357422,2.691691398620605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11623,1754694656.83752,90.6557891368866,5.0,0.0,31.83634068714082,9.47140839282065,1.3759176056828435,-0.4250159837752107,4.563893973271206,0.0786893161366606,-10.410861586269675,-13.83561000738473,-3.3172604121705263,2.1898355227981483,-2.640326084559547,0.2307396789378799,2.507420356949752,-12.55627093134899,3512.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11624,1754694656.845323,90.66359210014345,6.0,0.0,23.06158854115091,12.130994563802858,-1.1983903603175463,2.361829034174832,1.157893648651395,3.4561945174625066,-8.698806736525341,-8.96984787160983,-2.8860431077822,3.984449635505088,-3.255481861724832,-0.6775133431577274,1.0415114726935712,-10.778720672392694,3544.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11625,1754694656.8530262,90.67129516601562,7.0,0.0,14.616954297282971,19.428724836919173,-3.767324306112642,4.708881812193795,5.051415990588339,3.879221182244237,-7.50496181482913,-5.17304038766224,-2.931210324853509,4.842534847702154,-4.148420825889843,-1.8936814498433705,-0.6900009354408212,-9.464017216239426,3551.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11626,1754694656.860729,90.67899799346924,8.0,0.0,16.982255512131303,12.50155629980003,-3.4128408556112504,5.017860933296049,11.26386251646312,-18.533018511958343,0.8105568714599372,-10.688722841518086,-11.265908760173772,3.817001404144264,-11.798631749924937,3.022213478836818,-0.2639211978594744,1.697852207251742,3593.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.8091509938240051,0.43408203125,-0.322509765625,0.2298583984375,3.99993896484375,-3.99993896484375,3.99993896484375,-53.98336791992188,-120.52796173095705,2.691691398620605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11627,1754694656.8685322,90.68680119514464,9.0,0.0,12.820513657038845,4.861383170971038,-0.7328921890807862,0.7841222025706145,3.427095826927797,-23.37134372136987,8.768279321012159,-24.89501981331549,-19.82476492805361,1.5156659734713855,-21.840014767362646,4.294533442675146,5.674856500518416,10.52535222769049,3608.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11628,1754694656.876235,90.69450402259828,10.0,0.0,1.4259932012850245,5.41316500860367,4.258949169017484,-3.678655400785914,0.5579137983517342,-20.442284403302978,9.953192223618686,-24.77375105228529,-14.081648987715738,8.01198337258839,-22.41354353687493,5.799215845578516,4.366651901356278,1.7376313098874618,3608.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11629,1754694656.884038,90.7023069858551,11.0,0.0,-3.961682627429525,13.236864765536268,1.53047094375421,0.2070422402503595,4.58427879055813,-11.491104394342472,8.140720437182665,-15.415359576475057,-9.934471674495796,8.257122951610256,-17.31291245937058,3.763743934386696,2.434731586458895,1.3758868065170304,3578.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11630,1754694656.891741,90.7100100517273,12.0,0.0,-8.622951848818133,18.89840643277276,-1.1148770956186524,3.044618218612783,7.395011826740671,-4.114977597837509,6.036309140628788,-7.579967334311817,-6.560873708996127,7.841566943765343,-12.918750687884852,1.6160626876657318,0.4126671706502804,0.6810711848947051,3571.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.8133208155632019,0.44415283203125,-0.32305908203125,0.1920166015625,3.99993896484375,-3.99993896484375,3.99993896484375,-53.68429183959961,-120.2288818359375,1.1963073015213013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11631,1754694656.899544,90.71781301498412,13.0,0.0,-12.928755334407724,22.210420249001544,-3.998158725023615,4.539109849240703,8.725682628522208,1.3401893764518888,3.3681490212599954,-1.6373061091933607,-4.321503198968259,6.505143619144036,-9.636045659423218,-0.9461054423002508,-2.009722347801272,-0.6561556226340883,3386.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11632,1754694656.907247,90.72551608085632,14.0,0.0,-17.28097944772344,47.06125161169939,-2.196408804910334,12.7671001987178,8.320405129223673,4.565488252223076,-0.1548519600605686,2.0832143766347144,-3.5624123493325897,4.0810950555837735,-1.8608588199590488,-4.243668273755702,-5.160298208859331,-2.955265750179024,3608.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11633,1754694656.91505,90.73331904411316,15.0,0.0,-19.82274846862572,42.44859388566658,-5.416589264679601,11.260369654415284,8.209906288976185,7.563722342279675,-2.55895008753248,5.567282677177559,-2.335194019302321,2.3426603835029027,-0.900468179890936,-6.331213016649031,-7.099598250387203,-4.262463851554799,3578.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11634,1754694656.922753,90.74102210998537,16.0,0.0,-24.982926867092885,34.32626953766197,0.2812687030131542,16.391113230700228,5.292037642489447,17.03360042235812,-7.53561680281706,0.5310418101702794,7.33388880957358,0.6479642839967141,-3.46987942906668,-3.080705017359435,-14.440827046913055,-7.764971808489065,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.8156310319900513,0.45611572265625,-0.32000732421875,0.1558837890625,3.99993896484375,-3.99993896484375,3.99993896484375,-53.98336791992188,-118.4344253540039,1.1963073015213013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11635,1754694656.9304562,90.74872517585754,17.0,0.0,-24.36900163167877,29.89359217806293,-2.843056278856352,13.731786790959973,5.650549505864888,17.40653280799404,-7.944779977647272,4.460856656050396,6.837059866118466,-0.2119862268237966,-1.7171110979708146,-4.706632681771794,-13.686268467704052,-7.469679742610992,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11636,1754694656.9382591,90.75652813911438,18.0,0.0,-23.11272516645608,17.012687992581107,-5.344556672830038,11.084452513795044,5.739824863965225,17.135951199712565,-8.052637949826874,7.527941392604191,6.186691424254661,-0.9371102109434446,-0.2430598486548092,-5.917546113365859,-12.65483992880985,-7.012184835029927,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11637,1754694656.946062,90.76433110237122,19.0,0.0,-17.96239132863957,-8.192437878603869,-3.848587552492063,5.742611651853167,9.01018700785471,19.74993387118002,-4.503686273769745,13.193092659105332,8.836125047190762,1.877219001250069,-1.7303538149449196,-3.343015639281475,-8.022931424371109,-3.030312419805796,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11638,1754694656.9537652,90.7720341682434,20.0,0.0,-15.742468102583588,-5.556463140057474,-5.081748019520035,4.770724138227763,8.823263772529629,18.683515244625653,-4.0294419486553466,14.84509322717446,8.145697503097438,1.543634685271229,0.6033814059101701,-3.706367381632788,-6.546512428528729,-2.245880382698431,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.8142736554145813,0.46234130859375,-0.318603515625,0.14727783203125,3.99993896484375,-3.99993896484375,3.99993896484375,-51.14213943481445,-116.7895050048828,0.5981536507606506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11639,1754694656.961468,90.77973699569702,21.0,0.0,-13.756015307066605,-3.552560842355774,-6.272968863930259,3.479753658590312,8.045871371767703,16.871006186108957,-3.851894624573447,15.390776850288262,6.977429164349928,0.8788026652206327,2.164667103946272,-4.227201723547182,-5.465124174417156,-1.868995401630741,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11640,1754694656.9692712,90.78754019737244,22.0,0.0,-6.256620978230387,-20.62404132238231,7.976834022737364,7.632083122126858,7.826838983685263,15.315305608155938,14.748328649021405,6.737292837761231,-4.779520388874573,-9.031610583051645,-8.947431569591174,-15.300511986902675,-18.692446669523235,6.818968576174427,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11641,1754694656.977074,90.79534316062929,23.0,0.0,-5.311012393514034,-15.180432127308563,4.426447993373927,5.486551784744165,6.7200890206053145,13.07909148456872,11.25580547044808,8.017526168819927,-3.725141749193994,-7.561241027839173,-5.473043043182884,-13.140825523193712,-14.689352902492487,5.437349415006679,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11642,1754694656.984777,90.80304598808289,24.0,0.0,-4.236798114323676,-10.092476134991388,1.494250394022572,3.675086617458589,5.7206608242369725,10.950188475037692,8.15142536872753,8.942306198834274,-2.612403979963176,-5.984338210280669,-2.312103544613649,-10.817772307055575,-10.80216589168532,4.255646013463036,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.735543429851532,0.516845703125,-0.43487548828125,0.05224609375,3.99993896484375,-3.99993896484375,3.99993896484375,-53.08613586425781,-112.15380859375,-2.5421531200408936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11643,1754694656.99248,90.81074905395508,25.0,0.0,-3.218409307547006,-5.586422649873327,-0.9635481183344724,2.068604271713013,4.713826039347225,8.849781944132758,5.337632261379952,9.417717051253078,-1.6145170498247694,-4.4974056377613465,0.3629298204446627,-8.56164939081276,-7.261433798273117,3.148519981962693,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
