index,timestamp,latency__desc,eeg.counter,eeg.interpolated,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4,eeg.rawcq,eeg.battery,cq.af3,cq.f7,cq.f3,cq.fc5,cq.t7,cq.p7,cq.o1,cq.o2,cq.p8,cq.t8,cq.fc6,cq.f4,cq.f8,cq.af4,cq.overall,mot.q0,mot.q1,mot.q2,mot.q3,mot.accx,mot.accy,mot.accz,mot.magx,mot.magy,mot.magz,sq.overallsensorquality,sq.af3.signalquality,sq.af3.rms,sq.f7.signalquality,sq.f7.rms,sq.f3.signalquality,sq.f3.rms,sq.fc5.signalquality,sq.fc5.rms,sq.t7.signalquality,sq.t7.rms,sq.p7.signalquality,sq.p7.rms,sq.o1.signalquality,sq.o1.rms,sq.o2.signalquality,sq.o2.rms,sq.p8.signalquality,sq.p8.rms,sq.t8.signalquality,sq.t8.rms,sq.fc6.signalquality,sq.fc6.rms,sq.f4.signalquality,sq.f4.rms,sq.f8.signalquality,sq.f8.rms,sq.af4.signalquality,sq.af4.rms
0,1752271945.527372,0.0,73.0,0.0,24.05227554262767,127.18094937452696,-104.51792435560156,7.413389590561389,31.170096559594143,-0.6079617067619099,-0.8689200984285499,-31.739368407237507,-26.7679451843852,6.691383480970789,-30.09135407575896,-25.502463851058288,59.39322318310694,15.590242226474102,2032.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1752271945.5350752,0.0077030658721923,74.0,0.0,18.45110222662771,120.87466482598876,-103.18157569916649,7.226603730255793,33.40431761914843,4.785933424070873,1.891001218211876,-33.22281067105703,-26.55665278595484,9.627305017559587,-34.032462911110485,-30.32439254647015,55.143739090672,14.899099715699151,3244.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1752271945.542879,0.0155069828033447,75.0,0.0,9.374766926786036,106.91968022635376,-106.18674880192168,15.148695141024524,36.60193031287799,16.036129114454397,3.0134007480835407,-38.81198693460712,-30.343292767824025,12.19720146016895,-48.22576729446024,-44.12019350367312,45.80045810494505,13.385086311913708,3532.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1752271945.5505822,0.0232100486755371,76.0,0.0,4.557434367422201,88.4741764699276,-101.70935114910556,22.798264381846742,31.32001209534704,19.169554564979283,-0.3272470684208501,-39.94504606474396,-22.725765619175785,8.413659397397836,-58.514372109159766,-51.94002809865297,36.40040885116484,8.059146040694525,3455.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.4845004379749298,0.30047607421875,-0.61651611328125,0.54302978515625,0.9008926749229432,-0.505378782749176,-0.0400396734476089,-38.13229751586914,-146.24856567382812,-3.738460302352905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1752271945.558285,0.0309128761291503,77.0,0.0,3.2828531868159816,71.55412702338451,-90.50586204629197,21.40101126580636,27.57940216688023,19.43593597699428,-4.871042898165473,-31.70952345539894,-15.2696107226777,6.633910200909196,-52.78418044860457,-49.54775897335916,28.375401562425093,1.0964664457162998,2742.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1752271945.566088,0.0387158393859863,78.0,0.0,-0.8640372433096886,55.14122804988367,-78.61099170976695,22.673002560862976,30.133957664261228,27.81754802968635,-2.771579500517996,-25.57207095681489,-22.16631267477299,11.158098944128184,-41.327932129192014,-44.7593069588108,16.942316945760673,0.6005819246637216,3244.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1752271945.573892,0.0465199947357177,79.0,0.0,-1.8124533261989184,40.348785076741706,-65.1206746828902,27.711643625057967,25.150975838981594,28.32302956998601,-0.2686923413475401,-25.00946558313656,-25.003909371313057,8.29654374987927,-35.16691362076597,-40.15470591875461,12.627199235450693,6.019801797684524,3532.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1752271945.5815952,0.0542230606079101,80.0,0.0,3.319730848294814,33.978686542265294,-52.69658029398357,27.85590732396102,19.608352608864347,16.66585447480796,-1.1152151957657708,-24.498513201472104,-21.30252685422764,0.6995287267970873,-35.611500420660704,-32.635530337203406,18.03459440696732,8.196546794598323,3455.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.4914782345294952,0.296875,-0.61669921875,0.53851318359375,0.9184710383415222,-0.478522926568985,-0.0356450751423835,-37.982757568359375,-147.1457977294922,-2.8412299156188965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1752271945.589298,0.0619258880615234,81.0,0.0,4.57796976056673,23.137391739509468,-42.41236731807727,18.24832394584996,11.364431611046175,8.233134471167325,-1.4292728073273513,-19.856122519611944,-15.787113922594711,4.786523328360299,-29.337893820662856,-27.23199761975853,20.69783504071896,8.110450078393484,2742.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1752271945.597101,0.0697288513183593,82.0,0.0,-1.1307688921084993,-5.3079015436307415,-27.013367779675697,7.815232487413617,-1.3406146530532586,13.434404424644791,1.158977944534155,-8.577841046290636,-2.3711506163154685,14.308231086067472,-9.190663972447105,-25.31292820369446,23.060241224877537,9.754066319450835,3244.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
