index,timestamp,latency__desc,eeg.counter,eeg.interpolated,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4,eeg.rawcq,eeg.battery,cq.af3,cq.f7,cq.f3,cq.fc5,cq.t7,cq.p7,cq.o1,cq.o2,cq.p8,cq.t8,cq.fc6,cq.f4,cq.f8,cq.af4,cq.overall,mot.q0,mot.q1,mot.q2,mot.q3,mot.accx,mot.accy,mot.accz,mot.magx,mot.magy,mot.magz,sq.overallsensorquality,sq.af3.signalquality,sq.af3.rms,sq.f7.signalquality,sq.f7.rms,sq.f3.signalquality,sq.f3.rms,sq.fc5.signalquality,sq.fc5.rms,sq.t7.signalquality,sq.t7.rms,sq.p7.signalquality,sq.p7.rms,sq.o1.signalquality,sq.o1.rms,sq.o2.signalquality,sq.o2.rms,sq.p8.signalquality,sq.p8.rms,sq.t8.signalquality,sq.t8.rms,sq.fc6.signalquality,sq.fc6.rms,sq.f4.signalquality,sq.f4.rms,sq.f8.signalquality,sq.f8.rms,sq.af4.signalquality,sq.af4.rms
7697,1754358563.430125,60.12808394432068,94.0,0.0,0.6538464569070186,15.287559012058324,-8.76158709794035,11.68902378688736,16.30417341889452,-2.8231526760745,6.281772195636137,-6.635375097429545,-1.473519879873578,-4.0930307645085975,-6.858625683516124,-57.9711578139696,-1.6859035544567575,9.775363319799824,3378.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7698,1754358563.437952,60.135910987854,95.0,0.0,-1.4361717352591938,21.90666074466188,-19.83411132479497,16.273225948194323,7.33380657734304,-8.396759732200934,-3.0919617048561747,-2.7059294832381227,0.7016502150948156,4.8739375248503904,-3.94932630621426,-74.26953664978393,-0.5253488895052385,6.133150379127784,3338.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7699,1754358563.445878,60.143836975097656,96.0,0.0,3.3294048478864795,25.343555118170546,-15.060540768658058,18.61728813747183,0.9847623882473896,-3.1607878272878054,-9.307863984687884,-4.537221187059487,-1.4094646132803348,10.170423298939085,-1.6088178097102457,-67.01995294946076,-0.2547668820903084,6.656891083294312,3493.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.6019960045814514,0.40673828125,-0.576904296875,0.373291015625,0.95509272813797,-0.0126955062150955,0.0024414435029029,-45.16060256958008,-107.66765594482422,-7.775997638702393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7700,1754358563.453805,60.151763916015625,97.0,0.0,2.575546785814652,22.89003860664235,-8.615089987367526,17.42914968837505,4.774431585848845,-2.063100909645243,-18.26411560158812,-8.948162504462005,-1.6788895152914731,6.947297166651708,0.0201258124751007,-64.43403167628566,-1.6168590503968403,6.603835278562485,1724.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7701,1754358563.461631,60.15959000587464,98.0,0.0,8.201872510416194,24.500182786705352,-1.8707081596986088,20.75954641408765,-0.2938556870777233,-0.425473227461282,-17.571620272706298,-8.470174624934828,-2.2240443523492672,2.6561337684397017,-0.9950874031401896,-44.44433386928728,-2.259858177421904,5.412893238709273,3378.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7702,1754358563.469558,60.1675169467926,99.0,0.0,16.29197556582554,24.835559580131445,3.951391159475549,20.34739355673369,-6.939139536277111,6.947951445941186,-15.077284234378652,-7.313624643304905,-4.862410985547143,3.067625183611341,-2.218104241748591,-23.18316654369013,-2.625688065308026,2.678375039852796,3338.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7703,1754358563.4774852,60.17544412612915,100.0,0.0,17.715240662873754,23.82864081680228,3.281640922717457,13.695383864306592,-2.6694533118944435,6.961229142137341,-15.17881942927201,-6.641083244841042,-3.434576288777947,2.408051383312255,-0.1391123865069801,-15.97747247849847,-7.886463307268144,0.2333037838533584,3493.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.3296003639698028,0.66851806640625,-0.26983642578125,0.609619140625,0.8447394371032715,-0.0610360875725746,0.0019531548023223,-46.80552291870117,-106.47135162353516,-6.878767013549805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7704,1754358563.485311,60.18326997756958,101.0,0.0,18.8226219511119,27.0678651714432,3.436374412556063,13.117523592215376,-6.430477533625151,0.4559958462426152,-15.087873661254378,-4.88825094492239,1.9675091140964585,0.6325836038975581,-0.5165376997958333,-5.233658163750249,-12.824732228978236,4.145983831675778,1724.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7705,1754358563.493138,60.191097021102905,102.0,0.0,18.188586715695635,28.019368531499765,3.334523140496401,14.664407420833356,-13.790195145001292,1.6968425430795264,-19.385132075514832,-7.465586568346282,-0.1671172981237418,-4.17434087485168,-5.795136644743309,5.910825141973817,-9.289114255511834,6.6599905605152685,3378.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7706,1754358563.501065,60.19902396202088,103.0,0.0,17.01168834122319,27.20545592315358,1.107055955574026,12.999093268675836,-4.940990938487801,4.464369051431561,-22.98243474533291,-10.588772985525964,-7.461213302689146,-9.83290598180264,-4.881255450723245,15.010280564638208,-4.217143103993465,2.930084520212233,3338.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
