index,timestamp,latency__desc,eeg.counter,eeg.interpolated,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4,eeg.rawcq,eeg.battery,cq.af3,cq.f7,cq.f3,cq.fc5,cq.t7,cq.p7,cq.o1,cq.o2,cq.p8,cq.t8,cq.fc6,cq.f4,cq.f8,cq.af4,cq.overall,mot.q0,mot.q1,mot.q2,mot.q3,mot.accx,mot.accy,mot.accz,mot.magx,mot.magy,mot.magz,sq.overallsensorquality,sq.af3.signalquality,sq.af3.rms,sq.f7.signalquality,sq.f7.rms,sq.f3.signalquality,sq.f3.rms,sq.fc5.signalquality,sq.fc5.rms,sq.t7.signalquality,sq.t7.rms,sq.p7.signalquality,sq.p7.rms,sq.o1.signalquality,sq.o1.rms,sq.o2.signalquality,sq.o2.rms,sq.p8.signalquality,sq.p8.rms,sq.t8.signalquality,sq.t8.rms,sq.fc6.signalquality,sq.fc6.rms,sq.f4.signalquality,sq.f4.rms,sq.f8.signalquality,sq.f8.rms,sq.af4.signalquality,sq.af4.rms
11593,1754857920.4254582,90.42656016349792,79.0,0.0,-3.578975807711288,3.670453909616242,-1.4298788757642455,0.1764821835344605,-1.9183323664734075,-8.197978934451214,-4.85844621900975,-7.664491213897179,2.428708868628007,-5.249542085799931,8.983722808726668,10.124455779881316,5.509988307179981,7.036825033708681,4960.0,1.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11594,1754857920.433267,90.43436908721924,80.0,0.0,0.4515433684545442,15.022231147568084,0.4407425462681331,17.332650020015457,-11.0993770377141,-18.834710388623385,-13.117887240248216,-6.840056786615058,-8.222411662011233,-14.289686666261638,36.086749735954,31.2953666101702,12.622806591628128,-2.3754781675785,10950.0,1.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.2513411343097687,-0.537353515625,0.42742919921875,-0.68218994140625,0.7456168532371521,-0.5927824974060059,-0.0087891966104507,-40.0762939453125,-143.10826110839844,-7.028305530548096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11595,1754857920.441077,90.44217896461488,81.0,0.0,0.3075135381539162,13.222806996399203,-4.151137278535526,11.152677184094744,-5.20460177013511,-11.825487556862964,-8.670124556291494,-5.341458311266262,-7.239790170748375,-9.624402164509302,37.37803578275795,29.7214641407352,13.715104457431623,-2.746010187962593,13422.0,1.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11596,1754857920.4488862,90.44998812675476,82.0,0.0,-11.944490444054168,0.4460207573580419,-15.985727459422264,-7.844986769462025,5.2611493032451335,-1.2625668229217126,3.1943761188973667,-4.477910511002904,1.5227281701082802,0.278469762840416,23.783906655361648,12.159759703141503,9.502374818562316,-4.962266778524622,5662.0,1.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11597,1754857920.456695,90.45779705047607,83.0,0.0,-23.2872983964867,-1.699214072320526,-23.849615065459627,2.1891074909953865,2.59131123433119,-0.2368689872023672,5.149046720678346,-4.624057355844339,-1.084879708869746,-2.284445321767944,21.65692915423504,12.923980306168662,11.2316579263281,-13.628793870586405,4960.0,1.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598,1754857920.464504,90.4656059741974,84.0,0.0,-19.955719739644632,-6.548119162226907,-18.346886581130388,1.2523199137655645,1.7317032214792114,7.3012965347265215,6.879254301835704,-3.2831982893463696,-3.6323716921259113,-1.87055149043756,9.255472348191391,6.280809298784039,6.069408200107933,-8.59962587188404,10950.0,1.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.4131307601928711,0.23114013671875,-0.64605712890625,0.5987548828125,0.8134889602661133,-0.6162203550338745,-0.0141603723168373,-37.68368148803711,-141.61288452148438,-8.523689270019531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11599,1754857920.4723132,90.47341513633728,85.0,0.0,-0.8598475728997776,-19.06592570717592,5.283895159686583,-18.61647011311359,6.803776074708114,15.287893937716465,7.519676016228661,-3.469634014468223,1.0500093902209962,5.704242119267153,-3.901173929609538,-10.915891727652047,-10.611267226905309,8.030177057199328,13422.0,1.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11600,1754857920.480122,90.4812240600586,86.0,0.0,5.531840985812973,-18.690750793895663,8.51503588820989,-21.515068047577447,6.495802895403326,10.916084902437174,3.234514494787131,-4.373063186569599,2.3619753471620832,5.424819348341455,-8.158840755193328,-10.630374756208573,-10.51704912974404,11.499225101113748,5662.0,1.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11601,1754857920.487932,90.48903393745422,87.0,0.0,-6.217114861746275,3.895434909220505,-11.38769738362408,1.6686796309409075,-3.4421897072941263,-2.607111816840195,-2.0251416638357185,-3.9272534626133577,-0.3279456168145387,-7.451182549167306,20.3849163759105,14.0960331841843,11.99724639296823,6.765527727236524,4960.0,1.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11602,1754857920.4957411,90.49684309959412,88.0,0.0,-7.441894498309285,18.531995760500376,-11.401909968759629,12.017489372928775,-12.118096437706232,-11.367991814427842,-7.101997180702302,-4.45977492860165,-4.58250748359119,-15.115632943918843,37.735289684180046,29.13012619642968,20.232796844246604,4.404680772203118,10950.0,1.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.4152633547782898,0.23370361328125,-0.64410400390625,0.598388671875,0.7841916680335999,-0.5996185541152954,-0.0112306401133537,-39.47814178466797,-142.21102905273438,-6.43015193939209,0.0,0.0,283.1628112792969,0.0,263.71112060546875,0.0,282.6827697753906,0.0,264.7279968261719,1.0,53.193206787109375,1.0,45.95478439331055,0.0,81.44528198242188,1.0,74.95153045654297,3.0,25.28014373779297,3.0,25.89103507995605,0.0,900.451171875,0.0,711.2088012695312,0.0,313.447509765625,0.0,315.68170166015625
