epoch,g_loss,d_loss,Dg_R,Dg_F,Dl_R,Dl_F,ACg_R,ACg_F,ACl_R,ACl_F
1,16.836816787719727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,11.115376472473145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9.205942153930664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7.167138576507568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.265847206115723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5.81364631652832,5.7263994216918945,1.0,0.0,1.0,0.0,0.534375,0.49375,0.521875,0.50625
7,5.018527507781982,5.7173566818237305,0.996875,0.0,0.996875,0.0,0.546875,0.49375,0.609375,0.484375
8,4.571760177612305,5.693777561187744,0.996875,0.003125,0.846875,0.2125,0.78125,0.4625,0.525,0.50625
9,3.95489764213562,5.607030868530273,1.0,0.00625,0.5125,0.5,0.946875,0.490625,0.509375,0.496875
10,3.039454221725464,5.494856834411621,1.0,0.0,0.559375,0.496875,0.996875,0.525,0.578125,0.503125
11,2.814502716064453,5.151140213012695,1.0,0.015625,0.509375,0.5,1.0,0.584375,0.653125,0.496875
12,3.3931186199188232,4.8837456703186035,1.0,0.078125,0.625,0.5,1.0,0.65,0.95625,0.546875
13,3.0731067657470703,4.486720561981201,1.0,0.075,0.65,0.5,1.0,0.74375,0.96875,0.575
14,3.208402156829834,4.240814208984375,1.0,0.153125,0.871875,0.48125,1.0,0.79375,0.996875,0.73125
15,3.530683755874634,4.196120738983154,0.815625,0.734375,0.70625,0.490625,1.0,0.684375,1.0,0.815625
16,2.6312339305877686,4.310437202453613,1.0,0.84375,0.84375,0.403125,1.0,0.96875,1.0,0.9875
17,2.4632937908172607,4.342302322387695,1.0,0.7375,0.815625,0.31875,1.0,1.0,1.0,0.99375
18,2.4220151901245117,4.267246723175049,1.0,0.534375,0.69375,0.36875,1.0,1.0,1.0,1.0
19,2.644054651260376,4.2388916015625,1.0,0.2375,0.315625,0.74375,1.0,1.0,1.0,1.0
20,3.2275099754333496,4.179994583129883,1.0,0.3125,0.178125,0.790625,1.0,1.0,1.0,1.0
21,2.5427536964416504,4.044416427612305,1.0,0.340625,0.271875,0.728125,1.0,1.0,1.0,1.0
22,1.9671647548675537,4.044232368469238,0.65,0.553125,0.634375,0.490625,1.0,0.984375,1.0,1.0
23,1.9617595672607422,4.1637797355651855,0.978125,0.465625,0.875,0.40625,1.0,1.0,1.0,1.0
24,2.384122371673584,4.076626777648926,0.971875,0.328125,0.68125,0.5125,1.0,1.0,1.0,1.0
25,2.2049105167388916,4.078834056854248,0.9375,0.3625,0.384375,0.9125,1.0,1.0,1.0,1.0
26,2.5069379806518555,3.9793496131896973,0.84375,0.44375,0.146875,1.0,1.0,1.0,1.0,1.0
27,nan,nan,0.65625,0.103125,0.559375,0.2,1.0,0.6,1.0,0.6
28,nan,nan,0.7125,0.0,0.5875,0.0,1.0,0.5,1.0,0.5
29,nan,nan,0.696875,0.0,0.58125,0.0,1.0,0.5,1.0,0.5
30,nan,nan,0.725,0.0,0.584375,0.0,1.0,0.5,1.0,0.5
31,nan,nan,0.74375,0.0,0.584375,0.0,1.0,0.5,1.0,0.5
32,nan,nan,0.6875,0.0,0.58125,0.0,1.0,0.5,1.0,0.5
33,nan,nan,0.65625,0.0,0.590625,0.0,1.0,0.5,1.0,0.5
34,nan,nan,0.6875,0.0,0.5875,0.0,1.0,0.5,1.0,0.5
35,nan,nan,0.665625,0.0,0.571875,0.0,1.0,0.5,1.0,0.5
36,nan,nan,0.7,0.0,0.609375,0.0,1.0,0.5,1.0,0.5
37,nan,nan,0.690625,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
38,nan,nan,0.740625,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
39,nan,nan,0.68125,0.0,0.6,0.0,1.0,0.5,1.0,0.5
40,nan,nan,0.6625,0.0,0.596875,0.0,1.0,0.5,1.0,0.5
41,nan,nan,0.70625,0.0,0.584375,0.0,1.0,0.5,1.0,0.5
42,nan,nan,0.684375,0.0,0.578125,0.0,1.0,0.5,1.0,0.5
43,nan,nan,0.675,0.0,0.590625,0.0,1.0,0.5,1.0,0.5
44,nan,nan,0.69375,0.0,0.625,0.0,1.0,0.5,1.0,0.5
45,nan,nan,0.690625,0.0,0.575,0.0,1.0,0.5,1.0,0.5
46,nan,nan,0.696875,0.0,0.5875,0.0,1.0,0.5,1.0,0.5
47,nan,nan,0.725,0.0,0.6125,0.0,1.0,0.5,1.0,0.5
48,nan,nan,0.68125,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
49,nan,nan,0.696875,0.0,0.5875,0.0,1.0,0.5,1.0,0.5
50,nan,nan,0.703125,0.0,0.5875,0.0,1.0,0.5,1.0,0.5
51,nan,nan,0.725,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
52,nan,nan,0.709375,0.0,0.590625,0.0,1.0,0.5,1.0,0.5
53,nan,nan,0.665625,0.0,0.5875,0.0,1.0,0.5,1.0,0.5
54,nan,nan,0.684375,0.0,0.575,0.0,1.0,0.5,1.0,0.5
55,nan,nan,0.73125,0.0,0.6,0.0,1.0,0.5,1.0,0.5
56,nan,nan,0.7125,0.0,0.609375,0.0,1.0,0.5,1.0,0.5
57,nan,nan,0.6875,0.0,0.565625,0.0,1.0,0.5,1.0,0.5
58,nan,nan,0.70625,0.0,0.596875,0.0,1.0,0.5,1.0,0.5
59,nan,nan,0.70625,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
60,nan,nan,0.7,0.0,0.59375,0.0,1.0,0.5,1.0,0.5
61,nan,nan,0.734375,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
62,nan,nan,0.709375,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
63,nan,nan,0.746875,0.0,0.60625,0.0,1.0,0.5,1.0,0.5
64,nan,nan,0.690625,0.0,0.590625,0.0,1.0,0.5,1.0,0.5
65,nan,nan,0.696875,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
66,nan,nan,0.709375,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
67,nan,nan,0.68125,0.0,0.596875,0.0,1.0,0.5,1.0,0.5
68,nan,nan,0.665625,0.0,0.571875,0.0,1.0,0.5,1.0,0.5
69,nan,nan,0.703125,0.0,0.590625,0.0,1.0,0.5,1.0,0.5
70,nan,nan,0.696875,0.0,0.575,0.0,1.0,0.5,1.0,0.5
71,nan,nan,0.68125,0.0,0.590625,0.0,1.0,0.5,1.0,0.5
72,nan,nan,0.71875,0.0,0.5875,0.0,1.0,0.5,1.0,0.5
73,nan,nan,0.74375,0.0,0.578125,0.0,1.0,0.5,1.0,0.5
74,nan,nan,0.696875,0.0,0.596875,0.0,1.0,0.5,1.0,0.5
75,nan,nan,0.721875,0.0,0.584375,0.0,1.0,0.5,1.0,0.5
76,nan,nan,0.746875,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
77,nan,nan,0.753125,0.0,0.575,0.0,1.0,0.5,1.0,0.5
78,nan,nan,0.7125,0.0,0.58125,0.0,1.0,0.5,1.0,0.5
79,nan,nan,0.696875,0.0,0.5875,0.0,1.0,0.5,1.0,0.5
80,nan,nan,0.7125,0.0,0.59375,0.0,1.0,0.5,1.0,0.5
81,nan,nan,0.7,0.0,0.546875,0.0,1.0,0.5,1.0,0.5
82,nan,nan,0.7,0.0,0.584375,0.0,1.0,0.5,1.0,0.5
83,nan,nan,0.75,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
84,nan,nan,0.709375,0.0,0.596875,0.0,1.0,0.5,1.0,0.5
85,nan,nan,0.7,0.0,0.584375,0.0,1.0,0.5,1.0,0.5
86,nan,nan,0.696875,0.0,0.575,0.0,1.0,0.5,1.0,0.5
87,nan,nan,0.696875,0.0,0.590625,0.0,1.0,0.5,1.0,0.5
88,nan,nan,0.70625,0.0,0.575,0.0,1.0,0.5,1.0,0.5
89,nan,nan,0.715625,0.0,0.553125,0.0,1.0,0.5,1.0,0.5
90,nan,nan,0.721875,0.0,0.5625,0.0,1.0,0.5,1.0,0.5
91,nan,nan,0.740625,0.0,0.596875,0.0,1.0,0.5,1.0,0.5
92,nan,nan,0.709375,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
93,nan,nan,0.73125,0.0,0.590625,0.0,1.0,0.5,1.0,0.5
94,nan,nan,0.73125,0.0,0.58125,0.0,1.0,0.5,1.0,0.5
95,nan,nan,0.73125,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
96,nan,nan,0.725,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
97,nan,nan,0.746875,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
98,nan,nan,0.73125,0.0,0.565625,0.0,1.0,0.5,1.0,0.5
99,nan,nan,0.7,0.0,0.571875,0.0,1.0,0.5,1.0,0.5
100,nan,nan,0.728125,0.0,0.59375,0.0,1.0,0.5,1.0,0.5
101,nan,nan,0.73125,0.0,0.590625,0.0,1.0,0.5,1.0,0.5
102,nan,nan,0.703125,0.0,0.58125,0.0,1.0,0.5,1.0,0.5
103,nan,nan,0.715625,0.0,0.59375,0.0,1.0,0.5,1.0,0.5
104,nan,nan,0.721875,0.0,0.571875,0.0,1.0,0.5,1.0,0.5
105,nan,nan,0.75,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
106,nan,nan,0.734375,0.0,0.5875,0.0,1.0,0.5,1.0,0.5
107,nan,nan,0.7125,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
108,nan,nan,0.66875,0.0,0.603125,0.0,1.0,0.5,1.0,0.5
109,nan,nan,0.7,0.0,0.5875,0.0,1.0,0.5,1.0,0.5
110,nan,nan,0.703125,0.0,0.553125,0.0,1.0,0.5,1.0,0.5
111,nan,nan,0.715625,0.0,0.565625,0.0,1.0,0.5,1.0,0.5
112,nan,nan,0.734375,0.0,0.54375,0.0,1.0,0.5,1.0,0.5
113,nan,nan,0.75,0.0,0.584375,0.0,1.0,0.5,1.0,0.5
114,nan,nan,0.759375,0.0,0.584375,0.0,1.0,0.5,1.0,0.5
115,nan,nan,0.728125,0.0,0.5875,0.0,1.0,0.5,1.0,0.5
116,nan,nan,0.7,0.0,0.58125,0.0,1.0,0.5,1.0,0.5
117,nan,nan,0.7375,0.0,0.565625,0.0,1.0,0.5,1.0,0.5
118,nan,nan,0.740625,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
119,nan,nan,0.709375,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
120,nan,nan,0.715625,0.0,0.559375,0.0,1.0,0.5,1.0,0.5
121,nan,nan,0.753125,0.0,0.55,0.0,1.0,0.5,1.0,0.5
122,nan,nan,0.69375,0.0,0.5875,0.0,1.0,0.5,1.0,0.5
123,nan,nan,0.709375,0.0,0.56875,0.0,1.0,0.5,1.0,0.5
124,nan,nan,0.725,0.0,0.58125,0.0,1.0,0.5,1.0,0.5
125,nan,nan,0.7125,0.0,0.578125,0.0,1.0,0.5,1.0,0.5
126,nan,nan,0.7375,0.0,0.58125,0.0,1.0,0.5,1.0,0.5
127,nan,nan,0.71875,0.0,0.59375,0.0,1.0,0.5,1.0,0.5
128,nan,nan,0.675,0.0,0.55625,0.0,1.0,0.5,1.0,0.5
