,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
eeg.af3,6.627675431196979,8.20514897216973,1.5774735409727516,4.201449467068801
eeg.f7,5.512915307354129,7.071508042764568,1.5585927354104379,3.5371108396738054
eeg.f3,4.0204813165929805,5.251178121316873,1.2306968047238922,3.2668332547844092
eeg.fc5,3.3481605636730625,4.438339315842527,1.0901787521694646,3.0712032372541005
eeg.t7,2.728924151028427,3.5371944694280493,0.8082703183996223,3.3762518105070187
eeg.p7,4.2930301077460875,5.81983907662998,1.5268089688838926,2.811766323542604
eeg.o1,3.5967253993984203,4.72886903612944,1.1321436367310203,3.1769161228085063
eeg.o2,2.654500078140758,3.56516797444693,0.9106678963061722,2.9148936297348644
eeg.p8,2.094633633017756,2.9767884159657423,0.8821547829479865,2.374451346071846
eeg.t8,1.8643319908488518,2.619676348042509,0.755344357193657,2.468188133642472
eeg.fc6,1.9297524248225502,2.79199109218236,0.8622386673598095,2.2380722332553473
eeg.f4,2.012352598050255,2.864771805956073,0.8524192079058184,2.360754629660887
eeg.f8,2.4513111210360075,3.244648351481918,0.7933372304459105,3.0898727744865133
eeg.af4,2.780569536071311,3.761824312136283,0.9812547760649718,2.833687631899227
