,Delta,Theta,Alpha,Beta,Gamma
eeg.af3,0.0003920143671771459,0.0006106813142558176,0.00017267162820744017,0.00014689371078107196,6.070973449521513e-05
eeg.f7,0.00027557690233838417,0.0006073533651760471,0.00017001224676395366,0.0001649987659899715,9.3624039260825e-05
eeg.f3,0.0006310209704638858,0.0008637024328514015,0.00023872317144929892,0.0002530554520119334,0.000124319092292824
eeg.fc5,0.00030073988466437773,0.00034540521605138513,9.050192966729952e-05,8.832725511751568e-05,4.8485875518871236e-05
eeg.t7,0.00037355520195853087,0.00047495476880397847,0.0001394421409774537,0.0001226029457026285,4.78804288241877e-05
eeg.p7,0.0003669391682853823,0.0005190285487906982,0.00015174291850168428,0.00019388865449748542,0.00010025665101012619
eeg.o1,0.00031761358813590934,0.0004308287222080445,0.00013248517637071654,0.00018419413520171565,0.00011087740492475053
eeg.o2,0.00021818728423683015,0.0003223096887190746,0.00011197581207740039,0.00017592115461553034,0.00011319051348241348
eeg.p8,0.000958858350139008,0.0012522114780166294,0.00047576072472452213,0.0008218976150447879,0.0005079457800711241
eeg.t8,0.0003181208152965298,0.00043035364735057036,0.00012482474085455733,0.00016647720617432712,8.432121076691065e-05
eeg.fc6,0.0009334640168806585,0.0013231885283425393,0.0003993584192967109,0.0005593921295953212,0.000357635088735066
eeg.f4,0.0003608501410832382,0.00042295845741159577,0.00013303656470150214,0.00014556199369956642,7.138288280443181e-05
eeg.f8,0.0007385173568023873,0.0010866027495184671,0.0003061047822830454,0.00032371460781941384,0.00017890215012191565
eeg.af4,0.0003129666226805647,0.0005018825375231878,0.00015725459520753507,0.00018257183303253908,0.00012359472272772476
