,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
eeg.af3,4.1573005872842765,5.332787448592453,1.1754868613081764,3.536662722526187
eeg.f7,3.680956992926872,4.711341945890108,1.0303849529632356,3.572409477341311
eeg.f3,3.413095519465734,4.356458599011945,0.9433630795462108,3.6180083566660812
eeg.fc5,3.910516767234772,4.935137406948639,1.0246206397138673,3.8165508017851404
eeg.t7,3.873926211218836,5.011273597457998,1.1373473862391612,3.406106375508586
eeg.p7,2.6769412963278274,3.459570471368201,0.782629175040374,3.4204465717093124
eeg.o1,2.338992603631166,3.058261843698769,0.7192692400676028,3.2519013127220333
eeg.o2,1.8321258042635384,2.4686371532574007,0.6365113489938623,2.8783866788829333
eeg.p8,1.5235613944747008,2.1024178304064924,0.5788564359317917,2.632019438152809
eeg.t8,2.5850604695688113,3.3348612559542214,0.7498007863854103,3.4476630270303916
eeg.fc6,2.3654042593240705,3.0793192349811327,0.7139149756570623,3.313285662937697
eeg.f4,2.905692919944959,3.819644154098378,0.9139512341534188,3.1792647020113214
eeg.f8,3.3566688679306256,4.302269634604111,0.9456007666734861,3.549773831902914
eeg.af4,2.7489592805084007,3.6102892662690094,0.8613299857606086,3.1915285761239924
