,Delta,Theta,Alpha,Beta,Gamma
eeg.af3,0.0012581400952363722,0.002018552383934516,0.0003335227683673317,0.000317083134524055,0.0001892037565401762
eeg.f7,0.0009025958329261785,0.0015163186272389856,0.00023082473323893758,0.00022239654708338503,0.00012309670386896244
eeg.f3,0.00040285111831878107,0.0007198236009825325,0.000275948107741706,0.0003722806517290119,0.00023246595715131318
eeg.fc5,0.00021313472745872197,0.0003717397740416687,0.00013573810089521736,0.00019969917627027313,0.00011352521272490866
eeg.t7,0.00021715690915710337,0.0003317256514687693,9.916163862226744e-05,9.408106393964984e-05,2.6828882938222326e-05
eeg.p7,0.00029586970540272997,0.0004659252614938082,0.00014366250870203982,0.00013270370398994096,3.866457810415703e-05
eeg.o1,0.0002804342691582057,0.00041671156591621683,0.00014939317660135447,0.0001073172263185338,2.6911650570682924e-05
eeg.o2,0.00023812272328642067,0.0003757275620639832,0.00016294386997604132,0.00011645338962329031,2.964431877798803e-05
eeg.p8,0.0008269748272136945,0.0013597368883952465,0.0005144354447659399,0.0004793257155157266,0.00014398042041090817
eeg.t8,0.00022941767222488946,0.0003707490264889205,0.00011491879479796907,0.00012082573028712653,3.983157953869486e-05
eeg.fc6,0.000338890668167462,0.0004957139854543796,0.0002061151594610509,0.00029885907755321977,0.00015529970881210096
eeg.f4,0.00024930084274317824,0.00037470606114804565,0.00017172097375035746,0.00023399977499735463,0.00011146585769750947
eeg.f8,0.0010561186605426848,0.0014066251229841696,0.0002581836648437707,0.0003017596033175424,0.00016125528718576596
eeg.af4,0.0007974406776132745,0.001249119108700826,0.00024828641131484884,0.00032728828298592355,0.00021293114318856574
