file,fs,n_epochs,n_samples_per_epoch,n_channels,mean[TBR (Theta/Beta)],std[TBR (Theta/Beta)],mean[TAR (Theta/Alpha)],std[TAR (Theta/Alpha)],mean[TABR ((Theta+Alpha)/Beta)],std[TABR ((Theta+Alpha)/Beta)],mean[ABR (Alpha/Beta)],std[ABR (Alpha/Beta)]
posture1_no_exo.npz,128.1564483642578,26,768,14,3.750469236657644,1.8664785185167247,3.597113394574584,0.6592775082048002,4.766749216231346,2.1776121892240248,1.0162799795737028,0.3432168798833804
posture1_with_exo.npz,128.1251220703125,40,768,14,3.901085467411512,1.708307449780283,3.014190466913807,1.0026649953812226,5.177098697460459,1.9151236649987686,1.276013230048947,0.30859604277578556
posture2_no_exo.npz,128.05862426757812,61,768,14,3.919924038978844,1.4762971621814418,2.47444823031948,0.36445868363099526,5.475617888564822,1.8574015933507955,1.5556938495859793,0.4058448957501503
posture2_with_exo.npz,128.08404541015625,63,768,14,4.053052323590786,1.13104461054072,2.6205351684908154,0.530531029917602,5.607971637040359,1.4117085130877045,1.5549193134495738,0.36281598131187864
posture3_no_exo.npz,128.08993530273438,180,768,14,1.560842287583229,1.0512509255856157,2.003004574033192,0.6766021783465442,2.269913973204959,1.3036753955843592,0.7090716856217298,0.26014584857175677
posture3_with_exo.npz,128.03329467773438,183,768,14,3.2796688327841133,1.4235043979714619,2.980103673885029,0.5347376700232439,4.3483532381780705,1.7040681582502144,1.0686844053939577,0.2958822862917648
posture4_no_exo.npz,128.1153564453125,182,768,14,2.9549430695788996,0.8037017398684548,3.3438576810929077,0.3080943188427603,3.8273049887527755,0.9837008664384371,0.8723619191738764,0.18311397308655658
posture4_with_exo.npz,128.09188842773438,180,768,14,3.4361957194927055,1.2961371669844817,3.5226684100783525,0.5697512700373037,4.3869176242102235,1.5210394519108477,0.9507219047175189,0.23578459409665464
posture5_no_exo.npz,127.96119689941406,180,768,14,3.9499947097529424,1.2247432804132874,3.0617217932349186,1.1874487919045174,5.373332237775357,1.2497780995947523,1.423337528022414,0.550878791784303
posture5_with_exo.npz,127.967041015625,183,768,14,3.7954436277130386,2.4041922034221805,3.216746831927145,1.9282302759880419,5.090813312493863,2.5576071233504623,1.2953696847808225,0.6486913128338324
posture6_no_exo.npz,128.0801544189453,178,768,14,3.088788566297761,0.6536996340479131,2.6664389486078126,0.47501442152949575,4.251760721553365,0.7715087104855898,1.1629721552556032,0.18198695615967264
posture6_with_exo.npz,128.1075439453125,183,768,14,3.2345378524087036,1.1111380756438527,2.304542559854577,0.7536758012368563,4.684461786733706,1.3613159784471762,1.449923934325003,0.45270436733918473
posture7_no_exo.npz,128.0840606689453,181,768,14,5.677940322045513,1.9956748185778563,4.871695557277877,1.1890314451335944,6.820599378713866,2.135794446299134,1.1426590566683548,0.16422217316361493
posture7_with_exo.npz,128.08212280273438,186,768,14,3.4834808295426294,1.6088997994071206,3.6134172757174885,1.4944174320209087,4.447813823845627,1.720312221070735,0.9643329943029978,0.23740592053923668
posture8_no_exo.npz,128.08209228515625,50,768,14,4.9506066734055745,1.2790724852197928,3.9792068845971493,0.6222466418138272,6.193374861856377,1.4956782592880318,1.2427681884508017,0.2584265027594825
posture8_with_exo.npz,128.08993530273438,39,768,14,4.6138555647843384,1.8569624446771515,3.437789798811909,0.5063959774314554,5.953014160874483,2.3742946378266963,1.3391585960901444,0.536825035093404
posture9_no_exo.npz,127.96707153320312,123,768,14,10.483984711907672,4.128910126274796,7.429206654089758,2.140628037803407,11.851989136288056,4.317511053135313,1.3680044243803844,0.21171141095396911
posture9_with_exo.npz,128.06651306152344,120,768,14,8.125716894571491,1.9266304902396458,4.824330349727598,0.5024825630751455,9.796132029475913,2.225940064987906,1.6704151349044238,0.31756215405890953
