file,fs,band,mean_bandpower_across_channels,std_bandpower_across_channels,n_channels,n_epochs,n_samples_per_epoch
posture1_no_exo.npz,128.1564483642578,Delta (1–4 Hz),0.0006579707381775942,0.00016418386373265624,14,26,768
posture1_no_exo.npz,128.1564483642578,Theta (4–8 Hz),0.0011091622976020375,0.00032309955591509665,14,26,768
posture1_no_exo.npz,128.1564483642578,Alpha (8–13 Hz),0.00031109891633609267,8.587979689274767e-05,14,26,768
posture1_no_exo.npz,128.1564483642578,Beta (13–30 Hz),0.0003271395937575376,0.00012124942368864944,14,26,768
posture1_no_exo.npz,128.1564483642578,Gamma (30–45 Hz),0.0001299000181406232,6.494576188053087e-05,14,26,768
posture1_with_exo.npz,128.1251220703125,Delta (1–4 Hz),0.000517571283363865,0.00023822140222635015,14,40,768
posture1_with_exo.npz,128.1251220703125,Theta (4–8 Hz),0.0009432561107266674,0.0004460297439347081,14,40,768
posture1_with_exo.npz,128.1251220703125,Alpha (8–13 Hz),0.00032915229787558974,0.0001678430104357334,14,40,768
posture1_with_exo.npz,128.1251220703125,Beta (13–30 Hz),0.00028557241927208834,0.00017930451881502746,14,40,768
posture1_with_exo.npz,128.1251220703125,Gamma (30–45 Hz),0.00011137423180985283,7.514668206139207e-05,14,40,768
posture2_no_exo.npz,128.05862426757812,Delta (1–4 Hz),0.000420784930745989,0.00022253624085719672,14,61,768
posture2_no_exo.npz,128.05862426757812,Theta (4–8 Hz),0.001101240827050372,0.0007358111633871629,14,61,768
posture2_no_exo.npz,128.05862426757812,Alpha (8–13 Hz),0.00042344372756153204,0.0002566683180944438,14,61,768
posture2_no_exo.npz,128.05862426757812,Beta (13–30 Hz),0.00026936718928816816,0.00013679416181795577,14,61,768
posture2_no_exo.npz,128.05862426757812,Gamma (30–45 Hz),6.947522274021051e-05,4.3094354124279296e-05,14,61,768
posture2_with_exo.npz,128.08404541015625,Delta (1–4 Hz),0.0006204282448994643,0.0003184368132222197,14,63,768
posture2_with_exo.npz,128.08404541015625,Theta (4–8 Hz),0.0010897369250305465,0.0003895731008396997,14,63,768
