,TBR (Theta/Beta),TAR (Theta/Alpha),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta)
Ch1,12.014872550290479,5.45024207149891,14.21933839055235,2.204465840261873
Ch2,7.4202854336158275,3.734961257043473,9.40699557258095,1.9867101389651234
Ch3,12.09499640272922,4.861754133232167,14.58278084172146,2.4877844389922386
Ch4,6.477860766196677,4.059979132274672,8.073401150161496,1.5955403839648188
Ch5,4.302084946879918,3.132287435860532,5.675549210558065,1.3734642636781476
Ch6,3.661899057757148,2.7071087628112807,5.014596473748024,1.3526974159908758
Ch7,6.629029855625411,3.6771772673755025,8.43177943981349,1.802749584188079
Ch8,4.874889310516035,3.20541548922516,6.3957184415734725,1.5208291310574384
Ch9,3.031469672714374,2.78179442486986,4.121222960364699,1.0897532876503253
Ch10,4.548383266964104,3.5393587750388527,5.8334700333749785,1.2850867664108736
Ch11,4.63331777998845,2.979421557052114,6.188424230034983,1.555106450046534
Ch12,3.3459438069132683,3.293233097456156,4.361949553912174,1.0160057469989057
Ch13,3.154784788505937,3.249094502933146,4.12575829882201,0.9709735103160728
Ch14,6.066131716684291,3.3691223844963414,7.866639659649317,1.8005079429650253
