,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
Ch1,46.91447092301473,53.73906085458026,6.824589931565528,6.874328096441968
Ch2,44.27257623221858,48.24926015936198,3.976683927143395,11.133038573618046
Ch3,20.45835431031476,24.440026549077285,3.9816722387625236,5.138130995605844
Ch4,36.43940122363201,43.38316340678302,6.943762183151008,5.247789280404757
Ch5,21.785927344732784,27.54536410894573,5.759436764212949,3.782648877451862
Ch6,15.07821264415875,20.064918831326008,4.986706187167258,3.023681762074263
Ch7,37.17489739519961,45.69523983713997,8.520342441940366,4.363075406015949
Ch8,74.27247850634564,81.93878187282402,7.666303366478397,9.688173233393657
Ch9,11.469466326243905,13.685784833041213,2.2163185067973084,5.175007726118842
Ch10,11.043293030868087,13.35621141833545,2.3129183874673633,4.774614144383244
Ch11,15.414251809897122,18.777434322991354,3.363182513094232,4.583233790554445
Ch12,37.57706955997196,43.84080187217468,6.263732312202721,5.999149936848729
Ch13,12.616949151795032,16.446965476631586,3.830016324836553,3.2942285425701185
Ch14,43.52936255927812,51.27946995279736,7.7501073935192455,5.616614073621184
