,TBR (Theta/Beta),TAR (Theta/Alpha),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta)
Ch1,57.67669365106317,13.411711613405025,61.977165723601196,4.3004720725380325
Ch2,104.54799032164044,29.16028769273761,108.13327663778941,3.585286316148962
Ch3,64.05227977003868,15.239872157829655,68.25522029905414,4.202940529015472
Ch4,52.80256069792453,12.190993400843958,57.13383683161053,4.331276133686
Ch5,35.0136257424178,8.603346183323772,39.08339358493972,4.0697678425219195
Ch6,43.873746355462345,10.469641920692276,48.064314148787254,4.190567793324912
Ch7,63.80104862226257,12.706243568262028,68.82228392617249,5.021235303909926
Ch8,36.78036074020918,13.45783833970002,39.513367143333944,2.7330064031247634
Ch9,61.89751313408343,20.14230954227394,64.97052261235189,3.0730094782684443
Ch10,27.103483658073237,19.118697965757743,28.521126081138142,1.4176424230649038
Ch11,56.68207993723508,10.913611841975982,61.875784779575326,5.193704842340248
Ch12,76.39450232686043,12.96440819268993,82.2871353157048,5.892632988844379
Ch13,62.091921985565655,13.076405407495006,66.84031565184723,4.7483936662815776
Ch14,66.52733919587283,12.36006687819025,71.90978057629874,5.382441380425921
