,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
Ch1,36.7426544525352,52.75820617543027,16.01555172289507,2.294185990484748
Ch2,14.391785991310527,16.778295846619088,2.38650985530856,6.030474126291516
Ch3,31.98270309000549,41.21404461675809,9.231341526752596,3.4645780205798187
Ch4,9.166699407224561,15.068558421312998,5.901859014088437,1.5531884636633249
Ch5,9.083873589866302,14.202057798667752,5.118184208801451,1.7748234874403421
Ch6,16.638050027784622,23.14373799041504,6.505687962630417,2.5574620389183553
Ch7,7.575238558084774,12.679545803207366,5.104307245122593,1.4840874936818906
Ch8,5.522138421819284,12.686757786896889,7.164619365077605,0.7707511202328745
Ch9,12.76972333459091,15.218548345813284,2.4488250112223744,5.214632821092612
Ch10,11.512762414189462,18.38593435979958,6.873171945610118,1.6750290017696916
Ch11,9.808287519165336,13.989808625459967,4.181521106294631,2.345626680389766
Ch12,45.89883005699469,59.994471341884015,14.095641284889325,3.2562427601085657
Ch13,13.632526922295405,20.142929743041716,6.510402820746313,2.093960579423252
Ch14,21.02262154049139,27.416855548081227,6.394234007589838,3.2877466560854844
