,Delta,Theta,Alpha,Beta,Gamma
Ch1,0.00010642972847563215,3.6989300042478135e-05,2.2294049273341443e-06,9.809251473313907e-07,1.7984082845146077e-07
Ch2,0.00021358070807764307,0.00015384146536234766,1.9624821334218723e-05,5.319601839914867e-06,3.6655745816460694e-07
Ch3,0.00028148596902610734,0.00018008152619586326,3.46496626661974e-05,1.7110300660760913e-05,2.010760113080323e-06
Ch4,8.161834011843894e-05,2.3043934106681263e-05,6.539372634506435e-06,5.190958262346612e-06,1.2607071298020855e-06
Ch5,0.0001877191461971961,8.367034433831577e-05,5.542272617731214e-06,2.6720895540677247e-06,4.5931393444220703e-07
Ch6,0.00011549996634130366,5.4851781442266656e-05,5.551700098749279e-06,3.4297425699492123e-06,5.166048051563621e-07
Ch7,0.00012761369362124242,8.898538180801552e-05,8.683336830017652e-06,3.771878226643821e-06,5.5217773464733e-07
Ch8,0.00010959402425214648,6.424264893212239e-05,8.375809784411103e-06,3.7711041258603473e-06,5.252008925538121e-07
Ch9,0.0002466296537022572,0.00017007450151140802,3.3829029234766494e-05,1.975923669306212e-05,3.5471936428166373e-06
Ch10,0.00024348883016500622,0.00012501573155532242,1.1907028806490416e-05,4.3698776721612376e-06,3.82927883180173e-07
Ch11,0.0001014355912047904,7.994801762833958e-05,1.2487025401242136e-05,6.87368186902404e-06,1.0446320715118418e-06
Ch12,8.37282987049548e-05,4.394626557768788e-05,9.861768660357484e-06,2.986969111162807e-06,3.043897365273551e-07
Ch13,0.00014724013090017252,9.101228079089196e-05,5.9538323853303154e-06,1.9256534500300404e-06,2.513576431439901e-07
Ch14,8.938993596530054e-05,4.9067642066802364e-05,1.031154704378423e-05,5.962277406013072e-06,9.360779955613907e-07
