,Delta,Theta,Alpha,Beta,Gamma
Ch1,0.025568611919879913,0.005902812001295388,0.0011615042894845828,0.000172479715956797,1.3854963071935344e-05
Ch2,0.045117818750441074,0.0069905410055071115,0.0006561119225807488,0.00021076478935810883,9.452240860241545e-06
Ch3,0.06904278509318829,0.003340489318361506,0.0005725381124648266,0.00017148959295809618,1.4255908411087148e-05
Ch4,0.05125545943155885,0.006083982880227268,0.0019183114491170272,0.00032240020163953886,2.2882000138224612e-05
Ch5,0.041703063528984785,0.004829485696973279,0.0015172820130828768,0.0005185886320759892,2.0744285848195432e-05
Ch6,0.09003876615315676,0.0029602776339743286,0.0007703360533923842,0.0002735665630098083,2.432383638506508e-05
Ch7,0.08864852879196405,0.006660258921328932,0.0002702503388718469,0.00017054249633474683,7.402493352515194e-06
Ch8,0.023157211020588875,0.003918344009434804,0.00040138670556189027,0.00013048911330315605,1.2917948680524205e-05
Ch9,0.050401521380990744,0.0037189519789535552,0.0004707423213403672,0.000270503667934463,1.2571592407084609e-05
Ch10,0.11095175612717867,0.004791218671016395,0.0003847943225991912,0.00026559922298474703,1.1039149626412836e-05
Ch11,0.056491730734705925,0.0047896624892018735,0.0006799412512918934,0.0001796114586340991,7.92407772109982e-06
Ch12,0.03617671737447381,0.003128052572719753,0.0013092231092741713,0.0002894236283736973,6.3240417773613444e-06
Ch13,0.07277212850749493,0.007617085881065577,0.0011272479314357042,0.00042147233352807234,1.548180421195866e-05
Ch14,0.0793674704618752,0.005435768980532885,0.0015751839382573962,0.0009765951263034367,1.3184413376166049e-05
