file,fs,n_epochs,n_samples_per_epoch,n_channels,mean[TBR (Theta/Beta)],std[TBR (Theta/Beta)],mean[TAR (Theta/Alpha)],std[TAR (Theta/Alpha)],mean[TABR ((Theta+Alpha)/Beta)],std[TABR ((Theta+Alpha)/Beta)],mean[ABR (Alpha/Beta)],std[ABR (Alpha/Beta)]
posture1_no_exo.npz,128.0,26,768,14,5.875424953955796,2.952156637513997,3.5743535922262977,0.7717347936955813,7.449830304061962,3.375476691622231,1.5744053501061666,0.4465466239048243
posture1_with_exo.npz,128.0,40,768,14,285.76851586875347,133.38757875089092,48.9337373731173,31.341143586205824,292.3295224593568,133.64032808827005,6.561006590603283,2.366732743159033
posture2_no_exo.npz,128.0,61,768,14,6.934709845703905,1.9444953613276508,2.6063115445677494,0.33567346710222656,9.573175759530196,2.4445290265929356,2.6384659138262885,0.5505792025907992
posture2_with_exo.npz,128.0,63,768,14,17.2746408053537,8.57081057475469,4.146330551521687,1.9309993461209902,21.51790359374557,8.853094326202955,4.243262788391864,1.0075057284907785
posture3_no_exo.npz,128.0,180,768,14,30.57476507269079,18.350140374730323,5.6209796027930645,2.28918590492879,35.88874882114357,19.936457068554237,5.313983748452775,2.0767512531783154
posture3_with_exo.npz,128.0,183,768,14,123.61380119428804,76.32538007838353,19.908135808796782,8.973117551746217,129.40602380127604,77.82519909667758,5.792222606987997,1.8079903952248384
posture4_no_exo.npz,128.0,182,768,14,14.393557488760512,4.6031309629427355,5.1394852062666105,0.7311973954598107,17.17765243508434,5.243968869394152,2.7840949463238287,0.7069394347926855
posture4_with_exo.npz,128.0,180,768,14,57.80322472419355,19.297489487328914,14.558245336084084,5.205411347260629,61.95625166515749,19.856216559380634,4.1530269409639615,1.169511613571088
posture5_no_exo.npz,128.0,180,768,14,14.53943069916734,7.010413081140452,10.24824860234448,4.6942713088368135,16.003642657602473,7.167802947621901,1.4642119584351305,0.4461460428014921
posture5_with_exo.npz,128.0,183,768,14,25.821122881476953,13.48310001060152,9.41927325679539,3.162348479657389,28.402544818174437,14.116294490236404,2.5814219366974807,0.7171201450824445
posture6_no_exo.npz,128.0,178,768,14,8.706138479142153,2.7163227168997977,3.4458822578707275,0.6747463875536553,11.240587416747738,3.355926985295876,2.534448937605585,0.7245512611124103
posture6_with_exo.npz,128.0,183,768,14,17.553421094739853,12.165152973550809,2.70019923144016,1.4611605467460052,24.54855374309909,15.528963171176951,6.995132648359237,3.8807527248413507
posture7_no_exo.npz,128.0,181,768,14,20.61267626684935,12.61637409622129,8.748349609250393,4.356630585940003,22.886901551487153,13.04741443664042,2.274225284637802,0.6970147170436073
posture7_with_exo.npz,128.0,186,768,14,10.768997606120818,6.19488247199154,4.247267761736404,3.2710250051208587,13.73158633818154,6.531023224081079,2.9625887320607207,1.3063228721155786
posture8_no_exo.npz,128.0,50,768,14,46.594813860958986,16.207742563018872,8.766117055888177,2.400939461622254,51.95629826912147,17.216407109750488,5.36148440816249,1.5278005028039408
posture8_with_exo.npz,128.0,39,768,14,20.561212738944892,10.446968080964439,7.583454625890331,5.792778662768239,23.79863453372968,10.913684054130185,3.237421794784783,1.5931378677020527
posture9_no_exo.npz,128.0,123,768,14,32.68460181916043,20.22825174630281,7.4501516629808355,2.6913977918254357,36.73479331926136,21.500561460920782,4.050191500100925,1.4507521523361855
posture9_with_exo.npz,128.0,120,768,14,94.24492953481185,23.71255934924974,10.999183474548929,4.064950763179808,103.70787298812081,26.1032218394658,9.462943453308949,3.705996010925107
