file,fs,band,mean_bandpower_across_channels,std_bandpower_across_channels,n_channels,n_epochs,n_samples_per_epoch
posture1_no_exo.npz,128.0,Delta (1–4 Hz),0.00030145037076830965,0.00017642492935611873,14,26,768
posture1_no_exo.npz,128.0,Theta (4–8 Hz),0.0003111731261274794,0.00022684701874223212,14,26,768
posture1_no_exo.npz,128.0,Alpha (8–13 Hz),8.309889582441039e-05,4.9250974818515715e-05,14,26,768
posture1_no_exo.npz,128.0,Beta (13–30 Hz),5.17424572917337e-05,2.3544469935228305e-05,14,26,768
posture1_no_exo.npz,128.0,Gamma (30–45 Hz),6.161992438588218e-06,2.7625043168269653e-06,14,26,768
posture1_with_exo.npz,128.0,Delta (1–4 Hz),0.0004508674660428369,0.00023383637597930332,14,40,768
posture1_with_exo.npz,128.0,Theta (4–8 Hz),9.967412473039465e-05,6.407856872073937e-05,14,40,768
posture1_with_exo.npz,128.0,Alpha (8–13 Hz),2.1588096615740175e-06,8.994717123559859e-07,14,40,768
posture1_with_exo.npz,128.0,Beta (13–30 Hz),3.70548785623624e-07,1.955186561570701e-07,14,40,768
posture1_with_exo.npz,128.0,Gamma (30–45 Hz),5.237514108921307e-08,3.510933621917302e-08,14,40,768
posture2_no_exo.npz,128.0,Delta (1–4 Hz),0.0006361409793628679,0.00032205688873663917,14,61,768
posture2_no_exo.npz,128.0,Theta (4–8 Hz),0.0008486880886786301,0.0005447963002976922,14,61,768
posture2_no_exo.npz,128.0,Alpha (8–13 Hz),0.0003186019459592769,0.00018270906417680024,14,61,768
posture2_no_exo.npz,128.0,Beta (13–30 Hz),0.00011916850071713725,5.5894748434531524e-05,14,61,768
posture2_no_exo.npz,128.0,Gamma (30–45 Hz),4.387736392885699e-06,2.9352475427322707e-06,14,61,768
posture2_with_exo.npz,128.0,Delta (1–4 Hz),0.0016763362930630268,0.0011411560592308194,14,63,768
posture2_with_exo.npz,128.0,Theta (4–8 Hz),0.0022785542808248594,0.0014997959175876356,14,63,768
posture2_with_exo.npz,128.0,Alpha (8–13 Hz),0.0005794336554702438,0.0002468860617962146,14,63,768
posture2_with_exo.npz,128.0,Beta (13–30 Hz),0.00013656874110219114,5.81548291756144e-05,14,63,768
posture2_with_exo.npz,128.0,Gamma (30–45 Hz),5.656728529653979e-06,3.6232483621248054e-06,14,63,768
posture3_no_exo.npz,128.0,Delta (1–4 Hz),0.00040879609020651387,0.00025310553479753557,14,180,768
posture3_no_exo.npz,128.0,Theta (4–8 Hz),0.0004793024188529671,0.00030388598951521173,14,180,768
posture3_no_exo.npz,128.0,Alpha (8–13 Hz),9.594270489645038e-05,7.006320623607628e-05,14,180,768
posture3_no_exo.npz,128.0,Beta (13–30 Hz),2.0970688351797306e-05,1.909621657752566e-05,14,180,768
posture3_no_exo.npz,128.0,Gamma (30–45 Hz),1.3207346425403443e-06,1.0074347199516467e-06,14,180,768
posture3_with_exo.npz,128.0,Delta (1–4 Hz),0.006995778548506288,0.004052063737825367,14,183,768
posture3_with_exo.npz,128.0,Theta (4–8 Hz),0.009504629371804185,0.006000746489016671,14,183,768
posture3_with_exo.npz,128.0,Alpha (8–13 Hz),0.00046412093940619215,0.0002691783261904283,14,183,768
posture3_with_exo.npz,128.0,Beta (13–30 Hz),8.157478011940254e-05,4.462856682865133e-05,14,183,768
posture3_with_exo.npz,128.0,Gamma (30–45 Hz),4.862603894143344e-06,2.7726696096272316e-06,14,183,768
posture4_no_exo.npz,128.0,Delta (1–4 Hz),0.0006323929124586616,0.0004588835411665598,14,182,768
posture4_no_exo.npz,128.0,Theta (4–8 Hz),0.0004912252590786791,0.0003497255123435899,14,182,768
posture4_no_exo.npz,128.0,Alpha (8–13 Hz),9.606623637280012e-05,6.455034892112356e-05,14,182,768
posture4_no_exo.npz,128.0,Beta (13–30 Hz),3.560897815749594e-05,2.3694707258834926e-05,14,182,768
posture4_no_exo.npz,128.0,Gamma (30–45 Hz),4.511199734911843e-06,3.613265751610539e-06,14,182,768
posture4_with_exo.npz,128.0,Delta (1–4 Hz),0.0002743799102193277,0.00013555579878192994,14,180,768
posture4_with_exo.npz,128.0,Theta (4–8 Hz),0.0002711419096743027,0.00014769793852364781,14,180,768
posture4_with_exo.npz,128.0,Alpha (8–13 Hz),2.015217848289857e-05,1.2695337497301007e-05,14,180,768
posture4_with_exo.npz,128.0,Beta (13–30 Hz),4.725101696198156e-06,2.319193455697222e-06,14,180,768
posture4_with_exo.npz,128.0,Gamma (30–45 Hz),5.056358913156446e-07,2.3526487356374339e-07,14,180,768
posture5_no_exo.npz,128.0,Delta (1–4 Hz),0.0006997973721029536,0.0005017872216071771,14,180,768
posture5_no_exo.npz,128.0,Theta (4–8 Hz),0.00012636212203785493,8.625946731083939e-05,14,180,768
posture5_no_exo.npz,128.0,Alpha (8–13 Hz),1.3567412182169392e-05,9.247075706102677e-06,14,180,768
posture5_no_exo.npz,128.0,Beta (13–30 Hz),9.713557502344372e-06,6.902977411320115e-06,14,180,768
posture5_no_exo.npz,128.0,Gamma (30–45 Hz),1.5438682210750748e-06,1.1316485530995867e-06,14,180,768
posture5_with_exo.npz,128.0,Delta (1–4 Hz),0.00045000436330155935,0.0002565973920644169,14,183,768
posture5_with_exo.npz,128.0,Theta (4–8 Hz),0.00030041959423345233,0.00016287296229044757,14,183,768
posture5_with_exo.npz,128.0,Alpha (8–13 Hz),3.18209591755801e-05,1.4816908195952135e-05,14,183,768
posture5_with_exo.npz,128.0,Beta (13–30 Hz),1.2480944113134132e-05,6.072293299483516e-06,14,183,768
posture5_with_exo.npz,128.0,Gamma (30–45 Hz),2.3393466785291494e-06,1.5612917214651023e-06,14,183,768
posture6_no_exo.npz,128.0,Delta (1–4 Hz),0.00037627525515355434,0.00021646774143896968,14,178,768
posture6_no_exo.npz,128.0,Theta (4–8 Hz),0.0003278177588461923,0.0001922957360880815,14,178,768
posture6_no_exo.npz,128.0,Alpha (8–13 Hz),0.0001001645036597308,5.7387326337860195e-05,14,178,768
posture6_no_exo.npz,128.0,Beta (13–30 Hz),4.243050466763114e-05,2.847438360912916e-05,14,178,768
posture6_no_exo.npz,128.0,Gamma (30–45 Hz),2.7806874858577705e-06,2.1524365974238185e-06,14,178,768
posture6_with_exo.npz,128.0,Delta (1–4 Hz),0.00012126852405864546,5.096344463004324e-05,14,183,768
posture6_with_exo.npz,128.0,Theta (4–8 Hz),0.0008169262513807293,0.0004937308604946073,14,183,768
posture6_with_exo.npz,128.0,Alpha (8–13 Hz),0.0003145949203664194,0.0001781962514954346,14,183,768
posture6_with_exo.npz,128.0,Beta (13–30 Hz),5.452647734673276e-05,3.541187964478784e-05,14,183,768
posture6_with_exo.npz,128.0,Gamma (30–45 Hz),1.2721379047953008e-06,5.361868072502603e-07,14,183,768
posture7_no_exo.npz,128.0,Delta (1–4 Hz),0.0001525324297680137,6.854059203112191e-05,14,181,768
posture7_no_exo.npz,128.0,Theta (4–8 Hz),8.891220152561021e-05,5.03400192059698e-05,14,181,768
posture7_no_exo.npz,128.0,Alpha (8–13 Hz),1.2539043744652645e-05,1.0078573511699415e-05,14,181,768
posture7_no_exo.npz,128.0,Beta (13–30 Hz),6.008878327737729e-06,5.517645021401234e-06,14,181,768
posture7_no_exo.npz,128.0,Gamma (30–45 Hz),8.812672763599696e-07,9.130478174998455e-07,14,181,768
posture7_with_exo.npz,128.0,Delta (1–4 Hz),0.0003665536016147338,0.0003603423493849675,14,186,768
posture7_with_exo.npz,128.0,Theta (4–8 Hz),6.938171511754783e-05,5.175421282341511e-05,14,186,768
posture7_with_exo.npz,128.0,Alpha (8–13 Hz),1.980283184772296e-05,1.631501894173754e-05,14,186,768
posture7_with_exo.npz,128.0,Beta (13–30 Hz),6.8144445393159e-06,3.885892982334946e-06,14,186,768
posture7_with_exo.npz,128.0,Gamma (30–45 Hz),7.241282467619823e-07,6.055898315013917e-07,14,186,768
posture8_no_exo.npz,128.0,Delta (1–4 Hz),0.033086106031467874,0.011090930598584393,14,50,768
