Channel,RN vs RW,RN vs SN,RN vs SW,RW vs SN,RW vs SW,SN vs SW
eeg.af3,0.005773218290835499,3.977972622820368e-37,1.0392301793560143e-29,2.872403141990592e-09,1.241632061928346e-22,4.538775985599949e-18
eeg.f7,0.009175375883645583,1.9331263844738484e-33,3.881342615410938e-34,4.145990743806955e-25,7.338428003448243e-25,0.786262398529101
eeg.f3,0.02280677542176274,2.369613831328392e-35,6.757283528173782e-32,1.7405738698101568e-35,7.418557161493413e-32,1.1196411314130018e-25
eeg.fc5,0.043124676106019305,1.370332266641201e-31,2.3429696205890317e-31,1.8459450961484925e-31,3.492174128855758e-29,2.973228638197044e-26
eeg.t7,0.11653461818623173,6.734177772873176e-35,3.913423580042733e-14,3.2171451813535454e-35,3.847181659650954e-07,2.102621449938505e-32
eeg.p7,0.01982170776076158,5.93778055630689e-38,1.8396868305289406e-32,2.0542081652524543e-41,5.1100620714907114e-12,5.071582222069852e-34
eeg.o1,0.003993548279368486,7.838954886361218e-34,5.2617063600986825e-34,2.6767418827792815e-34,1.699445684655214e-37,1.167291241644788e-14
eeg.o2,0.11717874577398703,1.4938324223208033e-27,5.583413298747757e-34,2.1557126029778952e-27,6.277633284661582e-31,6.544371926228709e-15
eeg.p8,0.03969958429398456,4.134249208426306e-32,2.6980116747245624e-41,1.5098817595877005e-33,4.908746135686436e-19,2.1867648721843644e-24
eeg.t8,0.5980578880768002,6.210949242929585e-30,7.406377382950029e-34,1.2802020793045525e-29,1.2049556835282434e-32,5.505404384639619e-25
eeg.fc6,0.8395374402602572,1.9421552989401825e-37,2.305330854553588e-28,4.0064279477734813e-38,3.626596944495591e-29,4.4143435596330073e-23
eeg.f4,0.27498069420383153,1.053232752935879e-41,2.175561506962493e-27,6.668012253700954e-43,1.8789984026745057e-25,2.6724360235256856e-38
eeg.f8,0.8892509246875712,5.712771873826007e-38,1.5268609917505313e-23,3.68175246966362e-31,7.516564689251961e-09,1.866922966955215e-26
eeg.af4,0.5687368066931648,1.1053695723423444e-35,0.32361281873853043,5.8846680620325546e-30,0.2915669561094229,1.532968087743919e-32
