index,timestamp,latency__desc,eeg.counter,eeg.interpolated,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4,eeg.rawcq,eeg.battery,cq.af3,cq.f7,cq.f3,cq.fc5,cq.t7,cq.p7,cq.o1,cq.o2,cq.p8,cq.t8,cq.fc6,cq.f4,cq.f8,cq.af4,cq.overall,mot.q0,mot.q1,mot.q2,mot.q3,mot.accx,mot.accy,mot.accz,mot.magx,mot.magy,mot.magz,sq.overallsensorquality,sq.af3.signalquality,sq.af3.rms,sq.f7.signalquality,sq.f7.rms,sq.f3.signalquality,sq.f3.rms,sq.fc5.signalquality,sq.fc5.rms,sq.t7.signalquality,sq.t7.rms,sq.p7.signalquality,sq.p7.rms,sq.o1.signalquality,sq.o1.rms,sq.o2.signalquality,sq.o2.rms,sq.p8.signalquality,sq.p8.rms,sq.t8.signalquality,sq.t8.rms,sq.fc6.signalquality,sq.fc6.rms,sq.f4.signalquality,sq.f4.rms,sq.f8.signalquality,sq.f8.rms,sq.af4.signalquality,sq.af4.rms
3955,1754691938.7523952,30.811156034469604,78.0,0.0,2.429942430344468,-0.2152549122643989,3.596213215466392,0.1098744099235915,-7.449469127571305,-4.613211908835169,-4.131503796123965,0.6004818224623847,-7.470097798947776,-0.2484744260177507,5.397236871648616,4.5797847693484215,-1.8162318701288167,3.271166341804488,3599.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3956,1754691938.760098,30.818858861923218,79.0,0.0,5.331034810802507,0.0019667264497087,3.2236500094745537,2.709823836907148,-9.279793782893664,-2.91990869004168,-1.7306110771537675,0.2764360600331059,-7.474644157095568,-0.0546544577728269,2.70271109834583,4.966451062823566,-5.550766949802906,-0.9857634967675182,3544.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3957,1754691938.7679012,30.82666206359864,80.0,0.0,5.9289962846173125,3.295529799150188,3.56318790398376,5.219708520594793,-8.087342791428057,0.2459381356574681,-1.2188627133010073,0.1304726392554016,-2.25632337681742,-2.7583213094890766,-1.1246202007505983,1.2329252496755885,-0.8115304644348384,-1.749852445252202,3565.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.578603982925415,0.36993408203125,-0.58966064453125,0.425048828125,0.990737795829773,-0.1264667809009552,-0.0493171587586402,-49.19813919067383,-93.16242980957033,10.46768856048584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3958,1754691938.775605,30.83436584472656,81.0,0.0,0.8141820880673833,0.2608633897641823,1.91706087761898,3.054153131493905,-6.283363119621725,1.4457407077843811,1.1489648916936233,1.910754012068565,-0.8347751421497094,-2.784271505114674,-1.8181672116993184,-0.2807711102022665,-0.8947632124663585,-1.6594416124912357,3306.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3959,1754691938.7834082,30.842169046401978,82.0,0.0,0.2318776023191731,-0.2587361768662504,1.9791342521873505,1.7419980415158989,-4.253675775199326,1.8020429723981124,2.477669349117832,2.728327210973248,-0.2218385749476965,-3.303979547750941,-2.918800916311966,0.3766932278169861,-1.5506577620892583,-2.121379330146965,3599.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3960,1754691938.791111,30.84987187385559,83.0,0.0,-0.0422731621688967,-0.4804659449474115,2.172907259177407,0.8309485608228329,-2.2392028799222885,2.2456287120580214,3.701776579209252,3.5204306989039083,0.4989289224303661,-3.4207750029445947,-3.5267363698990835,1.1146390942271296,-1.8642336600456133,-2.230451069495814,3544.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3961,1754691938.7989142,30.85767507553101,84.0,0.0,2.9252245666150856,0.5677972873653943,1.0093671989014157,-0.251550928331838,2.161843829487495,-3.0480776183960216,-3.3688579206393143,0.4325187352590518,0.5486348706320285,-1.4614419276137625,-5.375870826114081,0.2294119467995159,-1.0747371830118055,2.482365288660091,3565.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.5777071714401245,0.3702392578125,-0.589599609375,0.42608642578125,1.0136873722076416,-0.1411154419183731,-0.0502937361598014,-49.34767532348633,-91.96612548828124,9.57045841217041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3962,1754691938.806618,30.865378856658936,85.0,0.0,5.148825448455767,-4.508795679644351,2.88122656478808,-1.0413213746595886,7.754010439526695,-5.269592259926782,-5.078472378268913,-0.9119085008855166,-5.027773443880875,0.994182258817176,2.225142862221759,2.358393101264568,-1.996919231902126,3.462790874306023,3306.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3963,1754691938.8144212,30.87318205833435,86.0,0.0,3.698334276638036,-3.931098104839009,2.652346126778923,-1.4594235261938024,7.337514169472399,-3.443852720987195,-2.4229002769833983,0.3599265854605278,-3.387759599512208,0.169941282741604,0.8459090453725935,2.567436295843038,-2.2309703831587626,2.1700809769182,3599.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3964,1754691938.822124,30.880884885787964,87.0,0.0,2.362140775714181,-3.3706832831593943,2.3478254460861194,-1.7705246775926184,6.7332090729801735,-1.861908505335976,-0.1887348826125503,1.3636004616324158,-1.9587410558628449,-0.5453529406194662,-0.3484274358870038,2.62926891772355,-2.4132979219543245,1.003522534329079,3544.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3965,1754691938.829927,30.8886878490448,88.0,0.0,2.474792231252252,1.9804276266182228,4.748553005491033,-3.355355156344956,4.725324542541841,4.291479130648952,-1.0859025407639251,-0.5988410838753566,-2.5332628445348178,-3.861814524046565,-0.4529705715617069,1.4027579703893591,-5.260823111491334,-1.1870007875240276,3565.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.3314593136310577,0.63140869140625,-0.29254150390625,0.6370849609375,1.0190584659576416,-0.1303730905055999,-0.0385748073458671,-48.0018310546875,-92.86335754394533,10.168612480163574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3966,1754691938.837631,30.89639186859131,89.0,0.0,3.268008995911373,3.1614443138431625,2.9061223473219115,-1.3875233885236185,2.975910181066069,-0.7436049309420696,-6.587984957074582,-3.796368396427056,-1.8398542369335475,-6.624728613985894,2.621114600583155,-0.4235827632459177,-2.151037646154577,1.018366017894664,3306.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3967,1754691938.8454342,30.904195070266724,90.0,0.0,3.8724750066826914,-0.365499859019053,-1.2339113415227416,-1.2054197930969508,2.4235641144778697,-8.735223491470549,-10.853145933064695,-0.8891272046943755,0.5967544845375983,-2.341190752151704,0.1605084496969198,0.5131311496207331,2.9738311763017578,5.118669193862445,3599.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3968,1754691938.853137,30.911897897720337,91.0,0.0,0.5470147041039013,-2.3247509203300183,-4.901252291610774,-3.7766810715859833,2.6279826892434244,-4.181298793726739,-10.803318274481455,0.0966140853572028,1.9769206288062264,1.887412026862592,-1.034512142457345,3.758795371498025,3.670679740647472,4.311839733346631,3544.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3969,1754691938.8609412,30.91970205307007,92.0,0.0,-4.473309644526779,2.011095115171912,-7.35227237149067,-3.587676566724184,-0.485931162284686,4.034136822096372,-7.320273485527394,-1.574758781375948,2.845304917202867,-2.0245959487399148,2.038365216112453,2.3880685735755662,2.960601826103158,1.2354335542648016,3565.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.3318120241165161,0.6314697265625,-0.29254150390625,0.6368408203125,1.004898190498352,-0.0927748531103134,-0.0312504768371582,-49.79629135131836,-91.96612548828124,11.364919662475586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3970,1754691938.868644,30.92740488052368,93.0,0.0,-4.8384621552412455,4.890584401233696,-5.931815478068415,-1.7479438217050074,-3.1290818270503,5.612700467811578,-0.8078669410577959,1.0266415729407754,5.024464676225421,-5.795114348510538,2.6466516202782486,-1.0798936862087205,2.773504309987516,0.3179887728152835,3306.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971,1754691938.876347,30.93510794639588,94.0,0.0,-3.856344056318406,-0.1435877686838722,-3.5554922413334253,-1.2065692579353282,-3.769506992366544,7.4443196916072765,2.502186663015479,3.947106033080715,6.647614050445142,-5.733069756140097,2.0163784110405203,-1.3288918641600986,1.8690623547955028,-0.1530862967387776,3599.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3972,1754691938.88415,30.94291090965271,95.0,0.0,-3.6574896591228025,-5.647159373906334,-3.671101805226499,-1.4426049075527771,-3.879252005250692,8.804203094239256,7.095608193922089,2.0800389005116813,9.205261539624644,-1.9023259957134544,5.0302513889932925,-0.2653175856103189,-0.1147979317502176,0.2722457902445967,3544.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3973,1754691938.891854,30.95061492919922,96.0,0.0,-3.335638987410164,-7.800613310327151,-3.6143607842486176,-2.775883144875877,-2.4652318885281943,6.067220485214023,16.262975603518555,4.952554754063442,11.882050077094902,2.377991229995189,4.18432097128931,-0.4787395086509036,-2.459373425882802,-3.792140175360544,3565.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.3315266966819763,0.63165283203125,-0.2926025390625,0.63677978515625,1.0376135110855105,-0.0751964598894119,-0.0190432593226432,-49.04859924316406,-91.96612548828124,8.822766304016113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3974,1754691938.899657,30.95841789245605,97.0,0.0,-4.639819353776829,-10.29213789758569,-3.792333834980809,-3.2805811731375343,0.1953363648851791,8.136496205970388,18.411059045925185,7.748249236921538,12.441553229078409,4.865328671150792,-2.765738979757998,-1.6980101198971624,-1.2722501651840048,-13.448374694585029,3306.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
