index,timestamp,latency__desc,originaltimestamp,eeg.counter,eeg.interpolated,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4,eeg.rawcq,eeg.battery,cq.af3,cq.f7,cq.f3,cq.fc5,cq.t7,cq.p7,cq.o1,cq.o2,cq.p8,cq.t8,cq.fc6,cq.f4,cq.f8,cq.af4,cq.overall,mot.q0,mot.q1,mot.q2,mot.q3,mot.accx,mot.accy,mot.accz,mot.magx,mot.magy,mot.magz,sq.overallsensorquality,sq.af3.signalquality,sq.af3.rms,sq.f7.signalquality,sq.f7.rms,sq.f3.signalquality,sq.f3.rms,sq.fc5.signalquality,sq.fc5.rms,sq.t7.signalquality,sq.t7.rms,sq.p7.signalquality,sq.p7.rms,sq.o1.signalquality,sq.o1.rms,sq.o2.signalquality,sq.o2.rms,sq.p8.signalquality,sq.p8.rms,sq.t8.signalquality,sq.t8.rms,sq.fc6.signalquality,sq.fc6.rms,sq.f4.signalquality,sq.f4.rms,sq.f8.signalquality,sq.f8.rms,sq.af4.signalquality,sq.af4.rms
7058,1752179259.219928,54.9559280872345,1752179259.2501771,39.0,0.0,2.150712670175505,-2.630492715069682,0.9208039382445428,8.426051577162294,3.2937700548598734,-2.450750064598129,-12.225481216955917,-27.41566660340656,-2.540167919841497,13.231734849749396,7.690674904320854,2.3052224586709364,-6.762292750529969,-1.0490984224415492,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7059,1752179259.227731,54.96373105049133,1752179259.2578812,40.0,0.0,1.7626103008433631,2.514031454778888,2.3353496394473723,-3.64396730500988,3.834136740378312,6.533736079732989,9.779726092852345,-21.704199183270063,-15.975648033957896,-5.680875666893613,-4.182604383292556,3.1062071727894818,0.6354350763784851,-2.5270619559351566,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.5800281763076782,0.4066162109375,-0.58612060546875,0.393310546875,1.1299000978469849,-0.030273899435997,-0.1181658655405044,-53.83382797241211,-120.37842559814452,-7.626459121704102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7060,1752179259.235534,54.97153401374817,1752179259.2655852,41.0,0.0,-0.7591126861350084,16.700783884396802,2.5173698510264053,-6.314591239338238,8.099562766339776,6.406141028975927,5.81547671641329,-14.847675050722128,-17.103711032203872,-17.221434266597353,-11.42404998600244,5.438332413918435,14.360967735630542,-1.6795660988583665,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7061,1752179259.243337,54.979336977005005,1752179259.273389,42.0,0.0,-2.771483710944047,9.608041758157569,1.179657827563005,-2.285306559511533,11.388244675439395,16.14415477902024,-5.437471815762976,-23.87061442780616,-9.60135173344112,-7.756415479905641,1.1871707526749016,8.043153145514893,3.865526077949411,-3.7812457174836536,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7062,1752179259.25114,54.98714017868042,1752179259.281193,43.0,0.0,-1.9236273504126544,-0.1075046953781067,3.178694063801932,-1.4376364838711764,11.809968608690443,18.20840671584728,-1.1651954019696644,-21.61771436403196,-4.730443706253648,0.8342062724482888,4.54663076197176,12.134219380597134,-3.925567166590379,-4.420712838305778,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7063,1752179259.258942,54.99494194984436,1752179259.288897,44.0,0.0,-4.325493547591374,3.914667502154868,2.3872992937932027,-4.990217852879364,-2.7369765733300424,-5.826064695998542,9.55029682486308,-0.9718956568129428,5.457824859094086,3.8896675720871743,-5.905339984472323,12.464954195759317,2.8329492625784782,-6.005328974646381,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.5823666453361511,0.4100341796875,-0.5838623046875,0.3896484375,1.1045089960098269,0.0161135271191597,-0.0893568322062492,-53.83382797241211,-119.33165740966795,-7.626459121704102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7064,1752179259.266745,55.002745151519775,1752179259.296602,45.0,0.0,-4.881044779881169,-5.864353822632719,1.4979854138446065,-3.168079651734569,-24.280087676058425,-21.14512353502272,8.921486177827948,13.0976944381211,15.676777944221786,7.252894367763506,-1.782305272255396,8.973847873603578,-1.976582432932215,-9.242096028703823,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7065,1752179259.274548,55.01054811477661,1752179259.3044062,46.0,0.0,-1.9266386976541483,-17.07681113265319,2.9415240699066487,1.9976901238525853,-19.605055420947465,-2.056798942137121,11.893353183714638,5.628286708345694,2.1731627889977148,1.0701925537743475,2.340926142079084,8.859855701717251,-6.540058038819112,-7.22038134924415,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7066,1752179259.282351,55.01835107803345,1752179259.31221,47.0,0.0,-2.9083037435091104,-3.633199987725748,1.077962629412097,-2.6567518992575234,-4.46727110990709,4.97147228834295,8.113447540158843,-5.4089194024408105,3.317395314873904,5.17224530199462,-6.899231953501571,7.7932142771007715,4.296201092557437,-4.464775694694007,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7067,1752179259.290154,55.02615404129028,1752179259.319914,48.0,0.0,-1.9553070178378444,5.080800324648601,-0.4736999431716864,-7.830812246984079,-10.953465502453616,-12.41330419646298,-4.941627672836722,0.7690302456695317,19.760686262119258,18.51570985229444,0.391477507953363,4.097929600064925,6.483439865946332,-2.968603044490175,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.5852968692779541,0.412841796875,-0.58154296875,0.3857421875,1.1054856777191162,0.0542000457644462,-0.1020523384213447,-54.28244400024414,-120.82704162597656,-8.67322826385498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
