index,timestamp,latency__desc,eeg.counter,eeg.interpolated,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4,eeg.rawcq,eeg.battery,cq.af3,cq.f7,cq.f3,cq.fc5,cq.t7,cq.p7,cq.o1,cq.o2,cq.p8,cq.t8,cq.fc6,cq.f4,cq.f8,cq.af4,cq.overall,mot.q0,mot.q1,mot.q2,mot.q3,mot.accx,mot.accy,mot.accz,mot.magx,mot.magy,mot.magz,sq.overallsensorquality,sq.af3.signalquality,sq.af3.rms,sq.f7.signalquality,sq.f7.rms,sq.f3.signalquality,sq.f3.rms,sq.fc5.signalquality,sq.fc5.rms,sq.t7.signalquality,sq.t7.rms,sq.p7.signalquality,sq.p7.rms,sq.o1.signalquality,sq.o1.rms,sq.o2.signalquality,sq.o2.rms,sq.p8.signalquality,sq.p8.rms,sq.t8.signalquality,sq.t8.rms,sq.fc6.signalquality,sq.fc6.rms,sq.f4.signalquality,sq.f4.rms,sq.f8.signalquality,sq.f8.rms,sq.af4.signalquality,sq.af4.rms
11541,1754359043.451687,90.28540992736816,123.0,0.0,15.753761150630396,11.086794090253475,1.5332871730174134,2.850752384995701,0.38949822549597,3.3834713261173306,-6.8996538181516485,-11.534979731075566,-18.4081105515948,0.0337040067469729,-1.3456762792503127,-5.071335997987319,-0.5102962504670927,2.120066737448667,3308.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,83.33333587646484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11542,1754359043.4595132,90.29323601722716,124.0,0.0,10.730379783567372,11.990731940273548,-0.8167167357611618,3.677551093558435,0.1833275834468111,3.4858971958925338,-6.54343593385525,-7.461642194103803,-9.56246609662881,-1.6793184705040003,1.8895191508398448,-5.471324516043893,-0.5599190489621435,2.9685348410920085,3494.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,83.33333587646484,0.3506631553173065,0.2747802734375,-0.75628662109375,0.4791259765625,0.7158312201499939,-0.6469825506210327,-0.3794003129005432,-42.618446350097656,-134.73411560058594,-8.374151229858398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11543,1754359043.4672382,90.30096101760864,125.0,0.0,8.783060976982426,7.549056732714973,-1.6343480542465727,4.698896957895897,-0.2480964226344326,-0.0768434703588241,-5.450010843007419,-5.910448170718325,2.62530648913554,-10.418080166135212,-0.7271620130088081,-0.3187731109948686,-2.0914786975583297,2.471395279666297,806.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,83.33333587646484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11544,1754359043.474964,90.30868697166444,126.0,0.0,10.60501739435074,5.807776474751677,-1.7439281658017762,4.236771833302896,3.732366628531395,4.1308390924999685,-5.70624646758813,-7.062660821419399,-4.876221422800995,-6.966189411196524,1.565542621790314,-1.8695849045876685,-2.3785376391475666,1.439523789516329,3356.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,83.33333587646484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11545,1754359043.48279,90.31651282310486,127.0,0.0,0.7978043963080665,8.911033386921673,-4.894207472535044,3.897445001829993,4.698530068712472,0.4431494870289327,-11.413315325226648,-12.480950230742993,-18.23636725754565,-0.8331158808846055,6.57229257253087,-4.358227750448776,1.4504022878441276,3.4967499308573053,51.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,83.33333587646484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11546,1754359043.490515,90.32423782348631,0.0,0.0,-7.082280176774788,8.91673241394679,-3.081471199200536,2.775446173854704,4.118544093005454,-2.570358003416999,-7.86637286645518,-9.63991153511992,-13.659567081039626,0.0165800633264154,5.223044317394539,1.0634895633017152,4.760049485904034,5.071506811924024,3067.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,83.33333587646484,0.350000649690628,0.27496337890625,-0.7568359375,0.4786376953125,0.7153429388999939,-0.6508888602256775,-0.3759823143482208,-43.51567840576172,-134.88365173339844,-9.271381378173828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11547,1754359043.49834,90.33206295967102,1.0,0.0,-2.5038969119607373,2.4402153375065154,-0.86695596122604,-0.61723054523668,0.8280712356543063,0.8383894309188236,-3.7450794717799454,-5.472224033569773,-2.221907026512554,6.597604957281646,2.70225439129149,2.3849299764331136,2.158599801929768,-2.58600965235496,3494.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,83.33333587646484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11548,1754359043.506066,90.3397889137268,2.0,0.0,-1.5770737850654086,1.7513818742935428,-1.5158913117526254,0.2933585467607145,0.8568814396056723,2.9947214026070696,-4.470202003094641,-9.147048548109638,-1.6340835672114054,13.839191607618773,4.122134843612798,1.8120269790041448,0.013399824365365,-3.274494795439864,3397.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,83.33333587646484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11549,1754359043.513891,90.34761381149292,3.0,0.0,-10.191940028707704,5.533061168311377,-4.194900618983212,1.6148117924487622,3.818167343100157,3.634951267797732,-2.660798083827132,-9.97465606520089,-6.38381741441961,8.07241227821143,-2.2063929604235284,5.888421019430297,-3.033889642939158,3.02805090282638,3417.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,83.33333587646484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11550,1754359043.5216172,90.35534000396729,4.0,0.0,-12.52328027804839,4.331869655236858,-6.676561985684714,0.5756133495860354,3.3445082473653542,8.919786385148143,3.887787946008245,-1.1792713783680142,2.202591712990796,-1.3731125824506876,-11.069776268052976,8.939518832373267,-10.105523725700609,-0.7815553094470147,3542.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,83.33333587646484,0.3487580418586731,0.2752685546875,-0.757568359375,0.47821044921875,0.6860456466674805,-0.6494239568710327,-0.3867246508598327,-44.11383056640625,-134.73411560058594,-8.374151229858398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
