step,phase,loss_D,acc_D,loss_G,loss_adv,loss_sup,loss_rec,loss_cov,loss_acf
1,GAN,0.7114173173904419,0.328125,0.742116391658783,0.7040469646453857,0.001180363236926496,0.21449686586856842,0.0008271948900073767,0.11645085364580154
2,GAN,0.7309261560440063,0.125,0.71027010679245,0.6459776163101196,0.001049160142429173,0.39223435521125793,0.0007930666906759143,0.11430492997169495
3,GAN,0.7536548972129822,0.1090909093618393,0.6497032046318054,0.6001760363578796,0.0009301319369114935,0.29192692041397095,0.000674441980663687,0.1463785171508789
4,GAN,0.7776287794113159,0.1328125,0.5870798230171204,0.5495400428771973,0.0008287703385576606,0.21377873420715332,0.0006714650662615895,0.14832720160484314
5,GAN,0.8096981048583984,0.140625,0.5524699687957764,0.5093309879302979,0.0007454165024682879,0.25314706563949585,0.0007233754149638116,0.14544817805290222
6,GAN,0.8328768610954285,0.145454540848732,0.5082562565803528,0.46864956617355347,0.0006746450089849532,0.227854385972023,0.0006404428859241307,0.16927269101142883
7,GAN,0.8534091114997864,0.2109375,0.4672117233276367,0.427226185798645,0.0006152952555567026,0.22935158014297485,0.0006847957265563309,0.18581917881965637
8,GAN,0.8867550492286682,0.2265625,0.4341130256652832,0.3959081768989563,0.0005608778446912766,0.2194511592388153,0.0007460881606675684,0.17910747230052948
9,GAN,0.9234452247619629,0.19090908765792847,0.4016251266002655,0.3623068332672119,0.0005062487325631082,0.22936521470546722,0.0008876427309587598,0.16840548813343048
10,GAN,0.9473922848701477,0.25,0.3731427490711212,0.3355830907821655,0.00046166134416125715,0.21574470400810242,0.000980369746685028,0.1891770213842392
11,GAN,0.978989839553833,0.2734375,0.34895145893096924,0.30994129180908203,0.0004204986325930804,0.22726081311702728,0.0010603182017803192,0.18138808012008667
12,GAN,1.001088261604309,0.2818181812763214,0.3324427604675293,0.29502394795417786,0.00038491011946462095,0.21600249409675598,0.0012057205894961953,0.19137664139270782
13,GAN,1.0182836055755615,0.3203125,0.31986719369888306,0.2815057933330536,0.0003558942407835275,0.2213359773159027,0.0013874336145818233,0.20258530974388123
14,GAN,1.0317357778549194,0.3125,0.3058764934539795,0.26900339126586914,0.00033550008083693683,0.2157478630542755,0.0015263485256582499,0.17293065786361694
15,GAN,1.0312529802322388,0.3545454442501068,0.30535927414894104,0.2663763761520386,0.0003204411477781832,0.22715774178504944,0.0016864417120814323,0.1948654055595398
16,GAN,1.0505484342575073,0.3359375,0.29492107033729553,0.2580068111419678,0.00031229437445290387,0.21231523156166077,0.0018677536863833666,0.20370179414749146
17,GAN,1.044358491897583,0.3828125,0.2936226427555084,0.2558038830757141,0.00031001080060377717,0.22092920541763306,0.001988321542739868,0.18448437750339508
18,GAN,1.048000454902649,0.3272727131843567,0.2909393906593323,0.2543163001537323,0.00031488886452279985,0.2104567140340805,0.0021026302129030228,0.20234130322933197
19,GAN,1.0387064218521118,0.40625,0.2940097153186798,0.25622522830963135,0.00031763617880642414,0.22115081548690796,0.0021293156314641237,0.17975541949272156
20,GAN,1.046859622001648,0.375,0.295247346162796,0.25793832540512085,0.00032606764580123127,0.2175179123878479,0.0021865132730454206,0.18187765777111053
